Title,Original_Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,imdbID,TMDb_ID,MovieLens_ID
Toy Story,Toy Story,1995,1995-10-30,81 min,"Animation, Adventure, Family, Comedy",John Lasseter,"Alec Sokolow, Joel Cohen, Joss Whedon, Andrew Stanton, Robert Lence, Joe Ranft, Joe Ranft, Pete Docter, John Lasseter, Andrew Stanton","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",tt0114709,862,1
GoldenEye,GoldenEye,1995,1995-11-16,130 min,"Adventure, Action, Thriller",Martin Campbell,"Jeffrey Caine, Bruce Feirstein, Ian Fleming, Michael France","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",tt0113189,710,2
Four Rooms,Four Rooms,1995,1995-12-09,98 min,Comedy,"Allison Anders, Alexandre Rockwell, Quentin Tarantino, Robert Rodriguez","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Tim Roth, Jennifer Beals, Antonio Banderas, Valeria Golino, David Proval",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,tt0113101,5,3
Get Shorty,Get Shorty,1995,1995-10-20,105 min,"Comedy, Thriller, Crime",Barry Sonnenfeld,"Elmore Leonard, Scott Frank","John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",tt0113161,8012,4
Copycat,Copycat,1995,1995-10-27,124 min,"Thriller, Crime, Mystery, Horror",Jon Amiel,"David Madsen, Ann Biderman","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,tt0112722,1710,5
Twelve Monkeys,Twelve Monkeys,1995,1995-12-29,129 min,"Science Fiction, Thriller, Mystery",Terry Gilliam,"Janet Peoples, David Webb Peoples, Chris Marker","Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",tt0114746,63,7
Babe,Babe,1995,1995-07-18,92 min,"Fantasy, Drama, Comedy, Family",Chris Noonan,"Chris Noonan, George Miller, Dick King-Smith","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",tt0112431,9598,8
Dead Man Walking,Dead Man Walking,1995,1995-12-29,122 min,Drama,Tim Robbins,"Helen Prejean, Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey",A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,tt0112818,687,9
Richard III,Richard III,1995,1995-12-29,104 min,"Drama, War",Richard Loncraine,"Ian McKellen, Richard Eyre, Richard Loncraine, Richard Eyre, William Shakespeare","Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Kristin Scott Thomas","A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",tt0114279,31174,10
Se7en,Se7en,1995,1995-09-22,127 min,"Crime, Mystery, Thriller",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",tt0114369,807,11
