item,embedding
228,"[0.0440814308822155, -0.023755718022584915, 0.006905626505613327, 0.025480013340711594, 0.057217005640268326, 0.017407026141881943, -0.05712058022618294, 0.015363793820142746, 0.007171642035245895, 0.02260706201195717, 0.04752789065241814, 0.04253121837973595, 0.04012135788798332, -0.037080779671669006, 0.03866192325949669, -0.04271417111158371, 0.024964306503534317, -0.05371750146150589, -0.033341798931360245, 0.008812475949525833, -0.04498311132192612, -0.04162796959280968, 0.0037477202713489532, -0.02799071930348873, 0.050158653408288956, -0.057360805571079254, 0.03153255209326744, -0.04792831838130951, 0.014029745012521744, -0.015604328364133835, 0.05694941058754921, -0.049521055072546005, -0.01188497245311737, -0.027658458799123764, 0.012450184673070908, -0.041004728525877, -0.016721054911613464, 0.03515344485640526, 0.014467615634202957, -0.045210786163806915, 0.04415832832455635, 0.029680471867322922, -0.03960692137479782, -0.05286726355552673, 0.03460485115647316, 0.04326040670275688, -0.04410076141357422, -0.035855431109666824, -0.012730278074741364, -0.04419093579053879, -0.013240043073892593, 0.012995939701795578, -0.01938735693693161, -0.0067433640360832214, -0.03413879871368408, -0.037024468183517456, -0.004986688494682312, 0.04357342794537544, -0.04309668764472008, -0.05086418613791466, -0.006338018923997879, -0.029728006571531296, 0.003293205052614212, -0.03440776839852333]"
222,"[0.02169850841164589, 0.050502609461545944, -0.024096257984638214, -0.0032028965651988983, 0.011645156890153885, -0.029713694006204605, 0.026022356003522873, -0.028741290792822838, 0.05734013393521309, 0.019475411623716354, 0.03319289907813072, 0.054068055003881454, 0.030681896954774857, 0.01255309209227562, -0.04116133600473404, -0.005117509514093399, 0.05387169495224953, -0.035149164497852325, -0.03773161768913269, -0.05608433857560158, -0.03968803584575653, -0.019221246242523193, -0.009954791516065598, 0.05249495431780815, 0.003699183464050293, 1.3418495655059814e-05, -0.05267145484685898, 0.046502675861120224, -0.010632120072841644, 0.04507235810160637, -0.048860691487789154, 0.0071745701134204865, 0.052540723234415054, -0.03430957347154617, -0.03334193304181099, -0.055478841066360474, -0.05291179195046425, -0.03158032149076462, 0.04522434249520302, 0.03225314989686012, 0.007573019713163376, -0.04229656979441643, -0.007324602454900742, 0.04402495548129082, 0.03787143900990486, -0.05697105452418327, -0.054925236850976944, 0.018412921577692032, 0.03206510469317436, 0.032804276794195175, -0.011790722608566284, 0.017261918634176254, 0.016035329550504684, -0.0179816372692585, -0.046147242188453674, -0.030656643211841583, -0.05234804004430771, 0.01760866865515709, -0.02109074592590332, 0.05404473468661308, -0.025983944535255432, -0.02232074737548828, -0.04307778552174568, 0.0582830049097538]"
670,"[0.024303745478391647, -0.050599806010723114, 0.025959860533475876, -0.053693145513534546, -0.026599030941724777, -0.0036191046237945557, 0.03474530950188637, 0.03998458757996559, 0.02859468385577202, -0.022373806685209274, 0.05756622925400734, 0.04416949674487114, -0.00018218159675598145, 0.03161967918276787, -0.008244037628173828, 0.057370949536561966, -0.006915342062711716, -0.01795656979084015, 0.032390858978033066, -0.011798452585935593, 0.00791953131556511, -0.007720496505498886, -7.802993059158325e-05, 0.007743921130895615, -0.04854445904493332, 0.04834352061152458, 0.023986119776964188, 0.009591717272996902, 0.028152529150247574, -0.009692434221506119, -0.03615667670965195, -0.03172461688518524, -1.2613832950592041e-05, -0.04980245232582092, 0.012231368571519852, -0.01813884824514389, -0.03875868767499924, 0.02098419889807701, 0.030960801988840103, -0.010199882090091705, 0.02323099598288536, -0.04287836700677872, 0.021729636937379837, 0.014169145375490189, 0.05697553977370262, 0.005673971027135849, -0.0036548152565956116, 0.03755700960755348, -0.04974357783794403, -0.032301876693964005, -0.0007751286029815674, 0.036290328949689865, -0.018484897911548615, -0.013184282928705215, 0.022571567445993423, -0.026503901928663254, -0.0011512376368045807, -0.018459055572748184, -0.051137395203113556, 0.01437016949057579, -0.004164613783359528, 0.033423978835344315, -0.02326979488134384, 0.016044016927480698]"
89,"[0.011139299720525742, -0.015245124697685242, -0.013760577887296677, 0.006375771015882492, -0.01484328880906105, -0.04062803089618683, -0.020220037549734116, 0.034408364444971085, 0.01699492707848549, -0.055659011006355286, 0.04157743975520134, -0.01662435010075569, 0.0002411976456642151, -0.053531713783741, 0.053468603640794754, -0.05686488747596741, 0.03122536465525627, 0.026087816804647446, 0.013000596314668655, -0.029168205335736275, -0.04450362175703049, -0.044899120926856995, -0.028413202613592148, 0.05561157688498497, -0.03733670711517334, 0.04694472625851631, 0.021974828094244003, -0.013817138969898224, -0.043372999876737595, -0.03111252374947071, -0.024116545915603638, -0.04770510643720627, 0.03488859906792641, -0.009359762072563171, -0.04515141248703003, 0.055888157337903976, 0.05599605664610863, 0.037456925958395004, 0.024510707706212997, -0.012119155377149582, -0.0018682964146137238, 0.03303090110421181, -0.0050186887383461, 0.05613291636109352, -0.02796575054526329, -0.0524279922246933, -0.008684717118740082, -0.021847736090421677, 0.044390399008989334, -0.02513938397169113, -0.04132486879825592, -0.031045004725456238, 0.007448036223649979, 0.042046334594488144, -0.05450661852955818, -0.008932720869779587, -0.05639595538377762, 0.018689695745706558, -0.018407538533210754, -0.05795250087976456, 0.00541294738650322, 0.033829350024461746, 0.040785033255815506, -0.00900229811668396]"
484,"[-0.006318811327219009, -0.046171482652425766, 0.011354383081197739, -0.0012085549533367157, 0.007219914346933365, -0.05530856177210808, 0.02653038129210472, 0.012973535805940628, -0.010731227695941925, 0.03312252089381218, 0.00304383784532547, -0.010651394724845886, 0.02821124717593193, 0.03582816198468208, -0.039394255727529526, 0.013447906821966171, -0.0400165319442749, -0.026361431926488876, -0.0495576485991478, 0.04056521877646446, -0.009506918489933014, 0.05312370881438255, 0.0271843783557415, 0.04401436075568199, -0.04972515255212784, -0.0357806459069252, -0.04040171951055527, 0.055863168090581894, -0.04312886670231819, 0.057121697813272476, 0.05153327062726021, -0.025051500648260117, -0.05535874143242836, -0.015294712036848068, 0.008166607469320297, 0.011306386440992355, -0.0026922710239887238, 0.05789900943636894, 0.028273526579141617, -0.04606708139181137, -0.056939102709293365, 0.011866111308336258, 0.03054618462920189, -0.022221166640520096, -0.01358821988105774, -0.03881271928548813, -0.0355219841003418, -0.05533120781183243, -0.012951493263244629, -0.04915981367230415, 0.050314705818891525, 0.02901555225253105, -0.03271855413913727, -0.058619994670152664, 0.0328843928873539, -0.013520274311304092, -0.002623721957206726, 0.05577360466122627, 0.027991335839033127, -0.034343451261520386, 0.028830599039793015, 0.04933410510420799, 0.043278004974126816, 0.00848962739109993]"
98,"[-0.056018292903900146, 0.023649591952562332, -0.03699168562889099, 0.03975998982787132, -0.011876076459884644, 0.048112209886312485, -0.019037101417779922, -0.03762853145599365, -0.05694906786084175, -0.01568261906504631, 0.035573508590459824, -0.02286383882164955, -0.05035925656557083, 0.008045714348554611, 0.027304481714963913, 0.006038215011358261, 0.04745718464255333, 0.015488538891077042, -0.025440484285354614, -0.0330142080783844, -0.03277362138032913, -0.03934182971715927, 0.008035283535718918, 0.0018086843192577362, -0.010254744440317154, 0.05244789645075798, -0.03795246034860611, -0.0017376318573951721, 0.029368344694375992, 0.019018884748220444, -0.03358881175518036, 0.05027410015463829, -0.05648493394255638, 0.054964158684015274, 0.027462463825941086, 0.030883897095918655, 0.012138251215219498, 0.05333307012915611, 0.020529191941022873, -0.003460872918367386, -0.022716905921697617, 0.010221656411886215, -0.01692287251353264, 0.014008518308401108, 0.011120196431875229, -0.023189857602119446, -0.004872705787420273, 0.053596410900354385, -0.02540268376469612, -0.0271436907351017, 0.004614833742380142, 0.039554987102746964, -0.04516608268022537, 0.024018842726945877, -0.017555244266986847, -0.036792829632759094, -0.023261871188879013, 0.03913162276148796, 0.023709308356046677, 0.05661739781498909, -0.04141604155302048, 0.020031262189149857, 0.03930659964680672, 0.0038817785680294037]"
50,"[0.045049335807561874, -0.005780056118965149, 0.015688013285398483, -0.015839356929063797, -0.04378103092312813, -0.0015074871480464935, -0.04356875270605087, 0.05277838185429573, 0.042106132954359055, -0.02017028257250786, -0.009474795311689377, 0.05358898267149925, 0.0541311614215374, 0.03330916538834572, -0.044913724064826965, 0.021708671003580093, -0.03678881376981735, 0.004379216581583023, 0.0275176502764225, 0.03909614309668541, 0.047676753252744675, 0.05162288621068001, 0.0336124412715435, 0.04257721081376076, -0.037839531898498535, -0.013983618468046188, 0.007498558610677719, -0.05103084817528725, -0.04372560977935791, 0.056642357259988785, 0.016168352216482162, 0.04678553715348244, 0.006227876991033554, 0.0014053434133529663, 0.05299612507224083, -0.055767424404621124, 0.028685439378023148, 0.03763686493039131, -0.020987339317798615, -0.04111434519290924, 0.035440463572740555, -0.05597682669758797, -0.027881283313035965, -0.05706259235739708, 0.04401436075568199, 0.003230758011341095, -0.04644414782524109, -0.013765476644039154, -0.023800987750291824, 0.05814448371529579, 0.007510203868150711, 0.051302220672369, 0.05385219678282738, -0.039314430207014084, 0.0527971126139164, 0.0007302016019821167, 0.02804180607199669, 0.03875599429011345, 0.021440159529447556, -0.04902715981006622, -0.022695396095514297, 0.024043705314397812, 0.04897554591298103, -0.04649114981293678]"
7,"[-0.024694524705410004, -0.04875963181257248, 0.015918780118227005, -0.0024046562612056732, -0.031945325434207916, 0.02180502936244011, -0.005856674164533615, -0.056889746338129044, 0.017252985388040543, 0.01744096353650093, 0.05439980700612068, 0.0010883510112762451, 0.05793929472565651, -0.04339111968874931, 0.04836004599928856, 0.05361483618617058, -0.04306681454181671, 0.007638599723577499, 0.007316242903470993, -0.0306871198117733, -0.020497001707553864, -0.015047304332256317, 0.0552690364420414, -0.017712444067001343, -0.051254190504550934, 0.036682162433862686, 0.011253956705331802, -0.02034498006105423, 0.030605461448431015, 0.03533168509602547, -0.007382117211818695, 0.022084880620241165, 0.019799504429101944, 0.028550293296575546, -0.04962840676307678, -0.005858968943357468, 0.036616455763578415, 0.0016582570970058441, 0.027801815420389175, 0.016521263867616653, -0.014322523027658463, -0.05099394544959068, -0.05698474869132042, -0.004337545484304428, -0.03572184592485428, -0.054219648241996765, 0.028916027396917343, 0.04476790502667427, -0.020521290600299835, 0.024638768285512924, -0.022230010479688644, -0.0022235512733459473, -0.04509759694337845, 0.02179284766316414, 0.008895743638277054, 0.05012756958603859, 0.014786925166845322, -0.04070546105504036, 0.03935268893837929, 0.011095147579908371, 0.03265020623803139, 0.030309636145830154, 0.03204510733485222, -0.0004999563097953796]"
435,"[-0.04707936570048332, 0.05237405374646187, -0.03452807664871216, 0.009760495275259018, 0.022450219839811325, 0.024937164038419724, -0.029251713305711746, 0.046034056693315506, 0.02085122838616371, -0.02243238314986229, 0.02870139852166176, 0.006781924515962601, -0.0026204250752925873, 0.05262954905629158, 0.022221732884645462, -0.05760127305984497, 0.046038608998060226, -0.04915110021829605, 0.04193795844912529, -0.02490764856338501, 0.02292153611779213, 0.009841766208410263, 0.034450795501470566, 0.029148828238248825, 0.05739925429224968, 0.052152495831251144, -0.005128193646669388, 0.019351650029420853, -0.03391517698764801, -0.0565980039536953, 0.05031494423747063, 0.024904053658246994, 0.012097883969545364, 0.043694984167814255, -0.05120042338967323, 0.05188242718577385, -0.03704109415411949, 0.020761918276548386, -0.03448738530278206, -0.026719633489847183, 0.05303671583533287, 0.0456593818962574, 0.015406522899866104, -0.01738584414124489, 0.01760450378060341, 0.033842865377664566, -0.018621262162923813, 0.014342140406370163, -0.035880059003829956, 0.03241237625479698, -0.025133177638053894, 0.0006005279719829559, -0.0019698627293109894, 0.04972071573138237, -0.010534130036830902, -0.041036881506443024, 0.012974884361028671, 0.013908687978982925, 0.02647419646382332, 0.0047352127730846405, 0.056152451783418655, 0.05235010012984276, 0.05858432874083519, 0.029571544378995895]"
655,"[-0.03801389038562775, 0.018591884523630142, -0.05247875675559044, 0.032525788992643356, -0.04026104137301445, 0.030503172427415848, -0.023423660546541214, 0.05537387356162071, 0.024798642843961716, -0.041878119111061096, -0.050285704433918, -0.03001522645354271, 0.03830507770180702, 0.04665322229266167, -0.015697937458753586, -0.03102557733654976, -0.01781640201807022, -0.02696986496448517, 0.042768146842718124, -0.05070625990629196, -0.03547867760062218, 0.012329380959272385, 0.0026276931166648865, -0.020388055592775345, 0.052637796849012375, 0.04342266544699669, -0.018505237996578217, -0.030864758417010307, 0.05596433952450752, -0.03946083039045334, 0.04711972549557686, 0.04551313444972038, -0.027218803763389587, 0.028700653463602066, 0.009406384080648422, -0.02542707324028015, 0.012777257710695267, 0.0004366151988506317, -0.03780783712863922, -0.009062793105840683, 0.015992242842912674, -0.04143218696117401, 0.04267836734652519, -0.05416944622993469, 0.039539825171232224, 0.04206712916493416, 0.05597005411982536, -0.015193510800600052, 0.051680032163858414, 0.05516950413584709, 0.056321706622838974, 0.04239272698760033, 0.05511695519089699, 0.05729808285832405, 0.013609539717435837, -0.029893506318330765, 0.021022643893957138, -0.040032610297203064, -0.044518306851387024, -0.04799220710992813, 0.03072788193821907, -0.02145516499876976, 0.042775023728609085, 0.0455491803586483]"
