user,embedding
97,"[0.06256572157144547, -0.07685298472642899, -0.012407205998897552, 0.007570840418338776, 0.04329425096511841, 0.0075542256236076355, -0.0209086574614048, -0.06409236043691635, -0.0030923187732696533, -0.016286328434944153, 0.04027780890464783, 0.0314464345574379, -0.03660251200199127, -0.060135237872600555, -0.06975634396076202, -0.02366560697555542, -0.074098601937294, -0.0492388978600502, 0.06726352125406265, 0.020174413919448853, -0.015701841562986374, 0.04173761606216431, 0.06871721893548965, -0.021193157881498337, -0.035404957830905914, -0.01185648888349533, -0.014136150479316711, 0.05389968305826187, 0.02488260716199875, 0.062047459185123444, -0.03535114601254463, 0.0483301505446434, -0.05357872322201729, -0.06743168085813522, 0.07106504589319229, -0.01446860283613205, 0.0018450990319252014, 0.05169568210840225, 0.034689173102378845, 0.032322026789188385, 0.008853837847709656, 0.06546702235937119, 0.0194411501288414, 0.03068259358406067, 0.04656597971916199, 0.047902218997478485, -0.01139945536851883, 0.0501478835940361, -0.026187606155872345, -0.06731678545475006, 0.002588815987110138, 0.02781917154788971, -0.022133708000183105, -0.015348833054304123, -0.0766117051243782, 0.04465632885694504, -0.024520698934793472, 0.06669103354215622, -0.03217998892068863, 0.07031630724668503, -0.030042454600334167, 0.03697429597377777, 0.012640461325645447, 0.031548596918582916]"
266,"[-0.03834450617432594, 0.045899391174316406, 0.011578761041164398, 0.023059405386447906, -0.019208762794733047, -0.04335961490869522, 0.011098824441432953, -0.06992262601852417, 0.043434157967567444, 0.053758688271045685, -0.04369718208909035, 0.01828514039516449, -0.07285614311695099, -0.02935222163796425, 0.011244617402553558, 0.04432029277086258, -0.05539040267467499, 0.03360404074192047, 0.0028658732771873474, 0.005962841212749481, 0.015624463558197021, 0.04830492287874222, -0.03150085359811783, 0.03928212821483612, -0.04538852721452713, -0.003719225525856018, -0.016345907002687454, 0.010510958731174469, -0.03368290141224861, -0.07013634592294693, 0.06211874634027481, 0.026553168892860413, -0.013846255838871002, -0.06461787223815918, 0.036667607724666595, 0.03592789173126221, -0.053261417895555496, -0.04570188373327255, -0.06114615872502327, -0.0738537460565567, 0.007054537534713745, -0.015548549592494965, -0.0691506415605545, 0.0669616237282753, 0.000598907470703125, -0.02640804648399353, -0.037228912115097046, -0.04425633326172829, -0.06162596493959427, 0.03577662259340286, 0.0392579659819603, 0.05309975892305374, 0.040953151881694794, -0.034113068133592606, 0.062289707362651825, 0.03864135593175888, -0.024421237409114838, 0.03556450456380844, 0.012804105877876282, 0.034023672342300415, 0.02379034459590912, -0.04083408787846565, 0.04731450974941254, 0.03534694015979767]"
811,"[0.0067315474152565, -0.02891264483332634, -0.014986846596002579, -0.007077038288116455, 0.007223881781101227, 0.049694545567035675, -0.050820816308259964, -0.0034331902861595154, -0.061560653150081635, 0.027849189937114716, 0.02698042243719101, 0.047481536865234375, 0.07593176513910294, -0.052995286881923676, 0.03966628760099411, 0.01601828634738922, -0.06446664035320282, 0.022217273712158203, -0.05442061275243759, 0.037425875663757324, -0.020079754292964935, -0.028207503259181976, 0.021680869162082672, -0.04929773136973381, 0.06964371353387833, 0.006677016615867615, 0.030230239033699036, -0.045320186764001846, 0.05182931572198868, 0.00019594281911849976, -0.015400510281324387, -0.04450923576951027, 0.05990069359540939, 0.026671327650547028, 0.022655189037322998, 0.013490080833435059, 0.03036586195230484, -0.06255432218313217, 0.05963633209466934, 0.06573256105184555, 0.03626871109008789, 0.04813677817583084, 0.056947849690914154, -0.030654307454824448, 0.0640949085354805, -0.05426914989948273, -0.034208398312330246, -0.04556039720773697, 0.0655054822564125, -0.04105111211538315, 0.012318313121795654, 0.02318701148033142, -0.05048178881406784, -0.0666041448712349, -0.01101750135421753, -0.04289301857352257, -0.007952280342578888, -0.04150652512907982, -0.04565390571951866, -0.00015182048082351685, 0.04222618043422699, -0.050147008150815964, 0.03901507705450058, 0.006436355412006378]"
24,"[0.046127110719680786, -0.061022598296403885, 0.05000481754541397, 0.06694383174180984, 0.06785374134778976, 0.022770002484321594, 0.070994071662426, 0.07542388886213303, -0.05477992072701454, 0.011399820446968079, -0.00255584716796875, -0.034237656742334366, -0.02112754061818123, -0.05577152967453003, 0.0712745413184166, -0.03607426583766937, -0.03848853334784508, 0.07123314589262009, -0.06926962733268738, 0.0024116188287734985, 0.023893415927886963, -0.06382828950881958, -0.004024319350719452, -0.022927746176719666, -0.04334421083331108, -0.02712656557559967, 0.07636887580156326, 0.014976896345615387, -0.057560473680496216, 0.023954838514328003, 0.05311904102563858, 0.018692106008529663, 0.0748894140124321, 0.046952567994594574, -0.007357873022556305, 0.06494421511888504, -0.07395248860120773, 0.019496627151966095, 0.019774742424488068, -0.01665545627474785, 0.013276763260364532, -0.04723098874092102, -0.05741773545742035, -0.042719319462776184, 0.05044475942850113, 0.07540126889944077, -0.053491801023483276, 0.016270548105239868, 0.03412456065416336, -0.008973032236099243, 0.03329635411500931, 0.03724168241024017, 0.05075683444738388, 0.037386320531368256, -0.015550397336483002, 0.03385591506958008, -0.024944797158241272, -0.008267216384410858, 0.011115744709968567, -0.059666186571121216, 0.051608167588710785, -0.020160775631666183, 0.018041104078292847, 0.027751989662647247]"
31,"[0.07377129048109055, 0.029226496815681458, 0.009727753698825836, -0.07363588362932205, -0.06417298316955566, 0.0242144912481308, 0.0074301064014434814, 0.03665105998516083, 0.06517700105905533, -0.007202401757240295, -0.07092991471290588, -0.04244163632392883, -0.05114728584885597, -0.030369441956281662, 0.0008175969123840332, -0.008815765380859375, 0.06993842869997025, 0.04246898740530014, -0.04677277058362961, -0.07076685130596161, -0.0653761699795723, 0.008401870727539062, -0.06228938698768616, 0.061394549906253815, -0.031093664467334747, -0.04970787465572357, 0.06338249891996384, -0.05563434958457947, 0.04044918715953827, -0.02752254530787468, 0.06015964597463608, -0.04564918577671051, 0.045429594814777374, -0.002390727400779724, 0.021517522633075714, -0.007930152118206024, -0.030357681214809418, 0.013694189488887787, 0.07069694250822067, 0.01976809650659561, -0.03318451717495918, -0.04645255580544472, 0.025245875120162964, 0.005885198712348938, 0.01804722100496292, -0.02378757670521736, -0.051841236650943756, 0.02492126077413559, 0.01601540297269821, 0.0578618124127388, -0.03819569572806358, 0.056804560124874115, 0.044261835515499115, 0.05132546275854111, 0.04993418604135513, 0.016233369708061218, -0.03251451626420021, -0.06040632724761963, 0.04565154016017914, 0.06826729327440262, 0.022226504981517792, -0.050293415784835815, -0.02626843750476837, -0.025310393422842026]"
281,"[-0.011077605187892914, 0.07393104583024979, 0.03525107353925705, 0.030495688319206238, 0.004023037850856781, -0.06943126767873764, 0.02544860541820526, 0.003930285573005676, 0.059687741100788116, -0.04914899170398712, -0.04969095066189766, 0.04482485353946686, -0.0076458752155303955, 0.006872996687889099, 0.012281253933906555, 0.003160633146762848, -0.04777752608060837, -0.07356282323598862, -0.05544860288500786, -0.05828374624252319, 0.07651781290769577, 0.07331068068742752, 0.05622377246618271, -0.00723613053560257, -0.051258690655231476, 0.05711657553911209, -0.036649320274591446, -0.023723799735307693, 0.04288535565137863, -0.04229351505637169, -0.025811485946178436, 0.01650877296924591, 0.030789732933044434, -0.05333917215466499, 0.03950274735689163, -0.021660201251506805, 0.0069755613803863525, -0.048738956451416016, -0.0716639831662178, 0.04349575191736221, -0.04651923105120659, 0.03792410343885422, -0.02039499580860138, -0.04224339500069618, -0.01766403391957283, 0.05916450172662735, -0.020358465611934662, 0.05600813776254654, -0.008030816912651062, 0.023007571697235107, 0.05282285064458847, -0.027581166476011276, 0.04899287968873978, 0.048566512763500214, 0.06841244548559189, 0.030652664601802826, 0.03372342884540558, -0.048082850873470306, 0.06668197363615036, -0.0018759369850158691, 0.010646559298038483, -0.014155246317386627, 0.043192774057388306, -0.02361133322119713]"
569,"[-0.009115330874919891, -0.034304894506931305, 0.04350070655345917, -0.03301640972495079, 0.045745305716991425, 0.036552369594573975, 0.017858944833278656, 0.05710097402334213, -0.026383567601442337, -0.017355959862470627, 0.04792927950620651, -0.0433599092066288, -0.02491094544529915, -0.04829908162355423, -0.06230643764138222, 0.0221332386136055, 0.04560133069753647, 0.07407171279191971, -0.04221527278423309, -0.031166110187768936, 0.010792866349220276, 0.04087784141302109, 0.06681262701749802, 0.05614840239286423, -0.051932692527770996, 0.024929173290729523, 0.02810337394475937, -0.006899088621139526, -0.01539897546172142, -0.05990567058324814, 0.07591205090284348, 0.05726229399442673, -0.04742373526096344, -0.012013934552669525, -0.01173979789018631, -0.05992138385772705, 0.04529702663421631, 0.03071817010641098, 0.04029415547847748, 0.02134133130311966, 0.07576899975538254, -0.0024258792400360107, -0.05585986748337746, -0.04296038672327995, 0.04942934960126877, 0.010590903460979462, -0.02754318341612816, -0.003221943974494934, -0.021742191165685654, -0.02520832046866417, 0.017966672778129578, -0.029361296445131302, -0.05187603831291199, 0.062122903764247894, 0.02320016175508499, -0.01647159457206726, 0.037586510181427, -0.05285262316465378, 0.07359599322080612, 0.027810096740722656, -0.004431962966918945, 0.04103543609380722, -0.015964411199092865, -0.0747653916478157]"
260,"[0.03863052278757095, -0.06190838664770126, -0.032584112137556076, 0.005617760121822357, -0.0016367286443710327, -0.04740159958600998, 0.05091916769742966, 0.052528850734233856, -0.018550042062997818, 0.048683784902095795, -0.012029625475406647, 0.05342138558626175, 0.04486892372369766, -0.057558052241802216, -0.04481174424290657, -0.023084081709384918, -0.04985611140727997, 0.05307074636220932, 0.04889032989740372, -0.006705373525619507, 0.0007739290595054626, 0.04990709573030472, 0.012540832161903381, -0.009386003017425537, -0.060208987444639206, 0.020174071192741394, -0.021267782896757126, -0.07457203418016434, 8.822977542877197e-05, -0.04219845309853554, 0.06207648664712906, 0.014730207622051239, -0.050587818026542664, 0.0617622509598732, -0.01373656839132309, -0.02893819659948349, 0.033911652863025665, -0.0395745150744915, -0.05908048152923584, 0.032550886273384094, 0.052223481237888336, -0.07497081160545349, 0.02985183149576187, 0.010296441614627838, 0.05408943444490433, 0.026436343789100647, 0.04814419895410538, 0.010702557861804962, -0.010107755661010742, -0.010140478610992432, 0.022382788360118866, -0.029687710106372833, 0.04144904017448425, 0.01175379753112793, 0.03353990614414215, -0.06309207528829575, 0.07672614604234695, -0.02315923571586609, 0.0038971975445747375, -0.037941984832286835, -0.07264800369739532, -0.05740145593881607, 0.07667732983827591, -0.012139126658439636]"
332,"[0.061786092817783356, 0.011702939867973328, 0.036359719932079315, -0.006039246916770935, 0.012909643352031708, 0.02414023131132126, 0.04988560825586319, -0.06479283422231674, -0.015176273882389069, 0.07618986815214157, -0.002390168607234955, 0.037342771887779236, 0.04441428184509277, 0.06781869381666183, 0.07651018351316452, -0.07670219242572784, 0.02256455272436142, -0.07218651473522186, 0.034696511924266815, -0.027629736810922623, -0.07634023576974869, -0.058709293603897095, -0.00656813383102417, -0.011344604194164276, 0.055440209805965424, 0.05590001493692398, 0.06475012749433517, -0.045943282544612885, -0.04690451920032501, 0.019366398453712463, -0.01507638767361641, 0.06930125504732132, -0.06122525781393051, 0.023137390613555908, -0.0569567009806633, -0.024618633091449738, -0.006579674780368805, -0.011725194752216339, 0.03906124085187912, -0.0385584831237793, 0.04364483803510666, 0.03989540785551071, -0.0008812323212623596, 0.02214212715625763, -0.04409720003604889, -0.0708475336432457, 0.006698377430438995, -0.039452388882637024, -0.045562662184238434, -0.06218601390719414, 0.009100660681724548, 0.07305201143026352, 0.04756086319684982, 0.036593660712242126, -0.03662443161010742, -0.07418626546859741, 0.038659244775772095, -0.008352093398571014, -0.06356671452522278, 0.028312981128692627, 0.055661700665950775, 0.034902989864349365, 0.028505325317382812, 0.06766849011182785]"
324,"[0.0594896599650383, 0.031264133751392365, -0.06397541612386703, -0.0654318705201149, -0.04197276011109352, 0.05548422783613205, 0.07341086119413376, 0.019990257918834686, -0.04489806666970253, -0.01678428053855896, 0.027272261679172516, -0.03568960353732109, 0.0642581358551979, 0.0024116188287734985, -0.051235780119895935, 0.05320238322019577, 0.05965676158666611, 0.04552863538265228, 0.072449691593647, 0.0009542703628540039, 0.007815398275852203, -0.009115554392337799, 0.06224990636110306, 0.05000802129507065, -0.07313032448291779, -0.07183748483657837, -0.04615071043372154, 0.009351864457130432, -0.04268525168299675, -0.06333769857883453, -0.011558100581169128, -0.004026688635349274, 0.04578302055597305, -0.049008071422576904, -0.015395678579807281, -0.02707395702600479, -0.05912940949201584, -0.004536323249340057, 0.023706763982772827, 0.02127176523208618, 0.021699905395507812, -0.05086620897054672, 0.047337792813777924, 0.023845158517360687, -0.005865544080734253, -0.07527992874383926, 0.022906295955181122, 0.04100506007671356, -0.02238432690501213, -0.017224714159965515, 0.030367232859134674, 0.0028000473976135254, -0.053467877209186554, -0.0037447884678840637, 0.05516128987073898, -0.023328252136707306, 0.051645271480083466, -0.0595407634973526, -0.006394602358341217, 0.05515923351049423, 0.07295910269021988, 0.009197652339935303, 0.03535247594118118, -0.06093539297580719]"
