item,embedding
50,"[-0.03333667665719986, 0.05550933629274368, 0.00719868391752243, -0.05258744955062866, -0.04771609231829643, 0.03748183697462082, -0.0406460203230381, -0.0036322101950645447, -0.04470829293131828, -0.01706790179014206, 0.07680986076593399, 0.07180682569742203, 0.0709317997097969, -0.054209139198064804, -0.05004916712641716, -0.06440307199954987, 0.03329978883266449, 0.035846441984176636, -0.07308634370565414, -0.04929576814174652, 0.005364969372749329, 0.0008917525410652161, 0.06337333470582962, 0.012146919965744019, -0.02488751709461212, 0.06055162101984024, -0.04323491454124451, 0.04663006216287613, -0.006434239447116852, -0.03921355679631233, 0.015358015894889832, 0.034566543996334076, -0.022241901606321335, -0.04673527926206589, -0.06527554243803024, 0.03962164372205734, 0.008850052952766418, 0.053544171154499054, 0.023566946387290955, 0.04410887509584427, 0.0243607759475708, -0.08211100846529007, -0.0710763931274414, -0.07807959616184235, -0.010517828166484833, 0.053861670196056366, -0.010510630905628204, 0.012464471161365509, 0.07746051996946335, -0.009431026875972748, 0.06380882114171982, 0.016522325575351715, 0.07118549197912216, 0.0009508728981018066, -0.06874138116836548, 0.03911123424768448, -0.023099269717931747, -0.06655846536159515, 0.02351834625005722, -0.02888142690062523, -0.027675393968820572, 0.06048499792814255, -0.020572729408740997, -0.013870179653167725]"
100,"[-0.009198985993862152, 0.06796533614397049, -0.04883800819516182, 0.06292838603258133, 0.06830193847417831, 0.014726780354976654, -0.037103939801454544, -0.04951879754662514, -0.056568220257759094, 0.07046764343976974, -0.052377235144376755, -0.01290663331747055, -0.02684502676129341, 0.05168560892343521, -0.04460442438721657, -0.07248803973197937, 0.019612014293670654, -0.06686799973249435, 0.007023155689239502, -0.07622869312763214, -0.011777296662330627, 0.004958838224411011, 0.03275918960571289, 0.011856965720653534, 0.0701947882771492, -0.004192620515823364, 0.032737329602241516, -0.04482125863432884, 0.010971441864967346, 0.004156388342380524, -0.01616581529378891, -0.036947332322597504, -0.0690406858921051, 0.018875636160373688, 0.003944665193557739, 0.014114387333393097, 0.03704620152711868, -0.016246125102043152, -0.08002441376447678, -0.009268529713153839, 0.010650113224983215, 0.030012570321559906, -0.07877732068300247, 0.04000305384397507, -0.07788003981113434, -0.03404376283288002, 0.05403188616037369, -0.08152808994054794, -0.007099606096744537, -0.023800507187843323, -0.012278616428375244, 0.07274169474840164, -0.07706700265407562, -0.009964868426322937, 0.016070231795310974, 0.07069981843233109, -0.04664450138807297, 0.007623985409736633, 0.0518786683678627, 0.05102107673883438, 0.05060163885354996, 0.025924012064933777, -0.038442227989435196, -0.018817350268363953]"
258,"[0.06906961649656296, -0.07783472537994385, -0.07089539617300034, -0.00898522138595581, 0.029525622725486755, -0.07656236737966537, -0.047882530838251114, 0.04929686337709427, -0.014334119856357574, -0.01901114732027054, -0.004799246788024902, -0.0638011023402214, -0.010998576879501343, -0.04771951958537102, -0.0038453340530395508, 0.06770024448633194, 0.04831968992948532, -0.026883918792009354, 0.01425323635339737, 0.0013265758752822876, -0.05559476464986801, -0.05321379005908966, -0.006195783615112305, -0.0007877722382545471, -0.02350742369890213, -0.035152506083250046, -0.02605053409934044, 0.006505891680717468, 0.0294063538312912, 0.029807686805725098, 0.06529528647661209, 0.07739043980836868, 0.000782012939453125, 0.023520566523075104, 0.039883583784103394, 0.06338498741388321, -0.016556181013584137, 0.026717104017734528, -0.04831546172499657, -0.007507704198360443, 0.08310087770223618, 0.002298980951309204, -0.06205715984106064, 0.08100514858961105, -0.05688489228487015, 0.0015008822083473206, -0.0506042018532753, 0.06713546067476273, -0.02332160621881485, -0.07222361117601395, 0.0698469802737236, -0.07031601667404175, -0.07807545363903046, -0.021314334124326706, -0.03718605637550354, -0.031794048845767975, 0.02128782868385315, 0.0051682814955711365, 0.06365563720464706, 0.004609346389770508, 0.024482041597366333, -0.01319749653339386, -0.04314713925123215, -0.04806092008948326]"
294,"[-0.014329537749290466, -0.02795068919658661, 0.02643221616744995, -0.0031007155776023865, 0.0006481260061264038, 0.02397856116294861, 0.0033133700489997864, -0.06242680549621582, 0.04954446107149124, 0.05251512676477432, 0.03302687406539917, 0.05194646865129471, -0.06499475240707397, 0.025478646159172058, 0.009062230587005615, -0.009964227676391602, 0.010284334421157837, 0.01031482219696045, -0.06170997768640518, 0.03527069091796875, -0.005685463547706604, -0.06330778449773788, 0.06550285965204239, 0.0399787500500679, 0.0658838078379631, -0.039161454886198044, -0.04320557788014412, 0.06323067098855972, 0.01227501779794693, 0.03973478078842163, 0.05496101826429367, -0.014856085181236267, 0.03786134719848633, -0.025309037417173386, 0.03885957598686218, -0.06831479072570801, 0.0049281045794487, -0.05497688055038452, 0.05155492573976517, 0.07831370085477829, -0.00559629499912262, 0.03745570033788681, 0.05813991278409958, -0.08217454701662064, 0.017516888678073883, -0.05225243419408798, 0.06088777631521225, 0.03290455788373947, 0.0709531232714653, 0.042683474719524384, -0.05537312105298042, -0.05777151882648468, -0.06012675538659096, -0.056170761585235596, 0.08302900940179825, -0.05767844617366791, -0.0018161758780479431, 0.035962752997875214, 0.08304639905691147, 0.021323323249816895, -0.06794549524784088, -0.06877929717302322, -0.07089706510305405, -0.05931311845779419]"
181,"[0.06510140746831894, 0.031013496220111847, -0.02963656187057495, -0.03893163427710533, 0.039253272116184235, -0.08013176172971725, -0.008930005133152008, 0.03285758197307587, -0.0601513646543026, 0.06258437782526016, -0.07824365794658661, 0.021939076483249664, -0.007818333804607391, -0.05530602112412453, 0.01451759785413742, 0.029155880212783813, 0.017545185983181, 0.0753379836678505, 0.059492506086826324, -0.06940523535013199, -0.03644086420536041, 0.018242664635181427, 0.06817994266748428, 0.055144406855106354, 0.06822483986616135, -0.06701754033565521, -0.004076920449733734, -0.041009217500686646, 0.07455069571733475, -0.0783512145280838, 0.07757014781236649, -0.04281997308135033, -0.08207433670759201, 0.010270103812217712, -0.06527793407440186, 0.055630914866924286, -0.02016386389732361, -0.05948970466852188, -0.01088300347328186, -0.053185779601335526, 0.011839479207992554, 0.027049899101257324, -0.04219258576631546, 0.04718271642923355, 0.04219017177820206, 0.004818759858608246, 0.028800368309020996, -0.07650842517614365, 0.024071089923381805, 0.06540525704622269, 0.031185343861579895, 0.033335499465465546, 0.06507893651723862, 0.006996855139732361, -0.07386316359043121, 0.04024329036474228, -0.058626510202884674, -0.02302500605583191, -0.04901408031582832, 0.024570196866989136, -0.020570337772369385, 0.07110289484262466, -0.04519783705472946, 0.02753891795873642]"
286,"[-0.06473225355148315, 0.017212308943271637, -0.04191139340400696, 0.023856356739997864, 0.02494397759437561, -0.0774703323841095, 0.002817980945110321, -0.008884705603122711, 0.02840195596218109, -0.04780816659331322, -0.05087864398956299, -0.07683541625738144, -0.0763525515794754, -0.0769432783126831, 0.05380436033010483, -0.07631329447031021, -0.006602540612220764, -0.07869996875524521, -0.013398125767707825, -0.005776122212409973, -0.07167225331068039, -0.0423358790576458, 0.07809191197156906, 0.08305075019598007, -0.011849455535411835, 0.008324965834617615, 0.029595889151096344, -0.0014090314507484436, -0.01643005758523941, -0.04527966305613518, 0.028339751064777374, 0.016567863523960114, 0.015129782259464264, -0.023308753967285156, 0.04929376393556595, 0.036173634231090546, 0.07379262894392014, 0.014398977160453796, -0.01787944883108139, 0.016113586723804474, 0.002525046467781067, 0.07346551865339279, 0.04730016738176346, 0.051659636199474335, -0.022399161010980606, -0.06146949529647827, -0.030200984328985214, -0.05980188399553299, 0.06494646519422531, 0.04324110597372055, 0.03344735503196716, -0.010074280202388763, 0.06880981475114822, 0.06351274996995926, -0.016798406839370728, -0.06382834911346436, -0.06418464332818985, -0.04567212611436844, 0.011511236429214478, -0.017011813819408417, 0.05897373706102371, 0.05869849771261215, 0.04283282905817032, -0.0449771024286747]"
288,"[0.0644172951579094, 0.06521610170602798, 0.039591558277606964, -0.017438367009162903, 0.004470549523830414, -0.02931421995162964, -0.02778329700231552, 0.05895490199327469, -0.03696257621049881, -0.014312714338302612, -0.07144279032945633, 0.0593813881278038, 0.050870709121227264, -0.06681203842163086, -0.06367333233356476, 0.05019368976354599, -0.011224545538425446, 0.039517976343631744, 0.049109481275081635, -0.007999531924724579, 0.06043178588151932, -0.0402531623840332, -0.005724504590034485, 0.07619822770357132, 0.021353699266910553, -0.07686835527420044, 0.03753726929426193, -0.08244868367910385, 0.06417589634656906, 0.06969890743494034, -0.03683726117014885, 0.06870827823877335, 0.0818176195025444, -0.00019975751638412476, -0.05555696040391922, -0.04338325560092926, -0.01963810622692108, 0.05410923808813095, 0.00947212427854538, 0.05772823840379715, 0.04854702204465866, 0.04574350267648697, -0.009491577744483948, 0.02994002401828766, 0.03321072459220886, 0.0525360181927681, 0.05726570636034012, 0.045295439660549164, -0.047360971570014954, -0.03159116953611374, 0.07705558091402054, -0.06475429236888885, 0.03467627614736557, 0.0344773530960083, 0.029253140091896057, -0.04188314825296402, 0.06878652423620224, 0.001372896134853363, 0.048581771552562714, -0.020529933273792267, -0.04612795263528824, -0.04255105182528496, -0.052220530807971954, -0.040667805820703506]"
1,"[0.05609183758497238, -0.08032919466495514, 0.03698865324258804, -0.07310951501131058, -0.012602761387825012, -0.0005965083837509155, -0.011336497962474823, 0.01091710478067398, 0.04720526188611984, 0.024584591388702393, 0.05330134183168411, 0.055414535105228424, 0.03679423779249191, 0.07694882899522781, 0.010100938379764557, -0.0359116829931736, 0.02258027344942093, 0.05268406122922897, 0.03121691197156906, -0.06140899658203125, 0.07359983772039413, -0.007961250841617584, 0.06641752272844315, -0.05375510826706886, -0.05595993250608444, 0.018006354570388794, 0.015235818922519684, -0.0704149603843689, -0.04688866436481476, -0.03066086396574974, -0.07855731248855591, 0.04694560915231705, 0.055799029767513275, 0.009430922567844391, -0.02722892537713051, -0.044287800788879395, -0.005124621093273163, 0.05683513730764389, -0.010010741651058197, -0.04872702434659004, -0.007259197533130646, -0.07925042510032654, 0.0524730309844017, -0.007991470396518707, -0.07962413877248764, 0.029420867562294006, 0.013812154531478882, -0.05582442879676819, -0.057320915162563324, -0.041790418326854706, 0.07669677585363388, -0.08131639659404755, 0.06630925089120865, 0.07395147532224655, -0.04393543675541878, 0.044597648084163666, 0.03021978586912155, 0.07803960889577866, 0.006220325827598572, -0.06346961110830307, 0.0400141179561615, -0.016930170357227325, 0.0474536195397377, -0.019911184906959534]"
121,"[-0.05496657267212868, 0.04387081414461136, -0.061095356941223145, 0.019878655672073364, -0.000825442373752594, 0.06386313587427139, -0.0738968551158905, -0.0715399757027626, 0.039933644235134125, -0.03495914116501808, -0.0653597041964531, 0.06956837326288223, 0.05405690521001816, -0.057450078427791595, -0.03042244166135788, 0.06922989338636398, -0.05062134936451912, 0.013800598680973053, -0.07591643184423447, 0.059900082647800446, -0.0769122764468193, -0.018152929842472076, 0.02587774395942688, -0.012243390083312988, -0.037189166992902756, -0.02345627173781395, 0.08189327269792557, -0.01583922654390335, -0.047672025859355927, 0.06416109949350357, -0.0003080219030380249, 0.06842384487390518, -0.05015896260738373, 0.04767189174890518, 0.03983251005411148, 0.010053135454654694, 0.034789130091667175, 0.04802069813013077, -0.010492920875549316, 0.050206638872623444, -0.06973598897457123, -0.04750755801796913, -0.014111332595348358, 0.0409272238612175, 0.009570136666297913, 0.07471335679292679, 0.03194320201873779, -0.08210722357034683, -0.049373894929885864, -0.05122951790690422, 0.06328236311674118, -0.0648851990699768, 0.026485666632652283, -0.07735666632652283, 0.03866639733314514, -0.03949754312634468, 0.016084514558315277, 0.07937128096818924, 0.0830816850066185, -0.02670178934931755, 0.05345771461725235, 0.034520700573921204, 0.042115963995456696, -0.03924871236085892]"
300,"[-0.05779906362295151, 0.0014080405235290527, -0.05468105152249336, -0.020982913672924042, -0.0578230582177639, -0.002915605902671814, 0.04559048265218735, -0.04417778551578522, 0.010061413049697876, -0.007361114025115967, 0.025679074227809906, -0.07220347970724106, 0.042136915028095245, -0.07753321528434753, 0.08245722204446793, 0.05062537640333176, 0.03228817880153656, -0.014884069561958313, -0.056242600083351135, -0.057882990688085556, -0.07111787796020508, 0.06365183740854263, -0.029937367886304855, 0.06322429329156876, 0.06049627810716629, 0.07231662422418594, -0.0225629061460495, 0.07061993330717087, -0.07787445932626724, 0.07229150086641312, 0.005263082683086395, -0.03627222403883934, 0.05713462084531784, 0.046825654804706573, -0.08203091472387314, 0.03716694563627243, -0.04459352046251297, -0.0558268241584301, -0.005576483905315399, 0.07172361761331558, -0.0622498095035553, -0.03331887722015381, 0.006091110408306122, -0.04026604816317558, 0.07641244679689407, -0.020320311188697815, -0.05642754212021828, -0.048421360552310944, 0.07369811087846756, -0.0343601256608963, -0.031122319400310516, 0.025253765285015106, -0.07070643454790115, -0.008683562278747559, 0.0008361786603927612, -0.038580432534217834, 0.07506363838911057, -0.047995854169130325, 0.04401976615190506, 0.04535459727048874, 0.075428806245327, 0.034151993691921234, -0.03352006524801254, -0.06246061250567436]"
