user,embedding
655,"[0.026901274919509888, -0.03689894825220108, 0.05663757026195526, -0.004778355360031128, -0.07334549725055695, 0.089035764336586, -0.019900716841220856, 0.061326175928115845, -0.007453612983226776, 0.08924880623817444, 0.007277883589267731, 0.08271464705467224, -0.014747127890586853, -0.0776326060295105, 0.0904829353094101, 0.019157007336616516, -0.0027609914541244507, 0.05731210112571716, -0.0752747505903244, 0.0295913964509964, 0.08971557021141052, -0.03187582641839981, 0.08475634455680847, -0.1057375967502594, -0.00858817994594574, -0.057062163949012756, -0.025222353637218475, 0.04443724453449249, 0.06075930595397949, 0.08998270332813263, -0.022046737372875214, 0.10471220314502716, -0.014024734497070312, 0.025523975491523743, -0.07443051040172577, 0.029111266136169434, -0.10147931426763535, 0.060821533203125, 0.021302461624145508, 0.05438494682312012, -0.05778294801712036, 0.08268363773822784, 0.026523083448410034, -0.080489382147789, -0.0711221843957901, -0.09346693009138107, 0.062207892537117004, -0.09174968302249908, -0.08251889050006866, 0.019973337650299072, -0.09137041866779327, 0.08181796967983246, -0.09396716952323914, 0.10498656332492828, 0.057516440749168396, 0.050363704562187195, -0.08689488470554352, 0.028991013765335083, -0.06293836236000061, -0.10018151998519897, -0.10373419523239136, 0.009518049657344818, -0.08569909632205963, 0.02169300615787506]"
13,"[-0.0728895515203476, 0.0624433308839798, 0.03822512924671173, 0.03157612681388855, -0.09447327256202698, 0.06318533420562744, 0.01652420312166214, 0.0919780284166336, 0.10502968728542328, 0.09839251637458801, 0.0030182823538780212, -0.09202858060598373, -0.08592180907726288, 0.08742132782936096, -0.035909950733184814, 0.040210336446762085, 0.09499487280845642, -0.05952959135174751, -0.06842510402202606, -0.08943422138690948, 0.07476750016212463, 0.02267184853553772, -0.09737411886453629, 0.10417810082435608, -0.07983797788619995, 0.0939006358385086, -0.008212298154830933, 0.04857252538204193, -0.05180661007761955, 0.10483506321907043, -0.039284639060497284, -0.05381200090050697, 0.06219978630542755, -0.08270018547773361, 0.08205051720142365, -0.0379684716463089, 0.08805622160434723, -0.00941871851682663, 0.09324058890342712, -0.08113810420036316, -0.09199365973472595, -0.08344808965921402, -0.1038353443145752, 0.054944708943367004, -0.01818491518497467, 0.09381595253944397, 0.010653369128704071, 0.08038930594921112, 0.035934969782829285, -0.06988127529621124, -0.043153949081897736, -0.012456655502319336, -0.10270780324935913, 0.004212595522403717, -0.06862694025039673, -0.00032477080821990967, -0.06996239721775055, 0.0256224125623703, 0.0003453865647315979, 0.028494060039520264, -0.04683180898427963, 0.012034259736537933, 0.012338541448116302, 0.0313582569360733]"
416,"[0.014857478439807892, -0.09456286579370499, 0.10426256060600281, -0.10262782871723175, 0.06568539142608643, -0.018394991755485535, 0.010633789002895355, 0.006878703832626343, -0.00441887229681015, 0.08391185104846954, -0.026851512491703033, 0.0656653344631195, 0.01337684690952301, 0.1058775931596756, -0.07351549714803696, -0.004436172544956207, 0.08857883512973785, -0.0544050894677639, 0.09560288488864899, -0.07763629406690598, -0.008116155862808228, 0.03957594931125641, 0.10134084522724152, -0.0035251304507255554, -0.007909491658210754, -0.04818839579820633, -0.03305187076330185, -0.008940078318119049, 0.028551578521728516, -0.00020907074213027954, -0.010774224996566772, 0.04936480522155762, -0.06794282793998718, 0.09982016682624817, 0.04028749465942383, -0.009556755423545837, 0.0742315798997879, -0.04534194990992546, -0.06116451695561409, 0.022348538041114807, -0.08816176652908325, -0.004140093922615051, -0.026554487645626068, 0.043068498373031616, 0.0745917409658432, 0.009351834654808044, 0.1006927490234375, -0.08566749095916748, -0.07667522132396698, 0.05271349847316742, -0.04174751043319702, 0.07346487045288086, -0.03433486074209213, 0.024262771010398865, 0.02513676881790161, 0.007422700524330139, 0.07658325135707855, -0.05948327109217644, -0.03515172749757767, -0.07394612580537796, 0.101242795586586, -0.10344311594963074, 0.07887694239616394, -0.10418159514665604]"
537,"[0.023923024535179138, -0.00221841037273407, 0.0673617273569107, -0.03530043363571167, -0.01126030832529068, -0.03511836379766464, 0.0994076132774353, -0.07674465328454971, -0.06474973261356354, 0.08331556618213654, 0.04938669502735138, -0.044243328273296356, -0.0588119737803936, 0.08197318017482758, -0.07538357377052307, 0.053196266293525696, 0.024556800723075867, -0.06282762438058853, 0.026012852787971497, 0.031218022108078003, -0.035409972071647644, 0.025077730417251587, -0.02725556492805481, 0.01940205693244934, 0.015613473951816559, -0.06200163811445236, -0.019169561564922333, -0.08933623135089874, -0.012138396501541138, 0.05577285587787628, 0.06768845021724701, 0.059212759137153625, -0.020614847540855408, -0.06488360464572906, -0.08766770362854004, 0.10143585503101349, 0.08417282998561859, 0.06958238780498505, 0.019116893410682678, -0.05192170664668083, 0.040351808071136475, 0.07620042562484741, -0.06305812299251556, -0.008752986788749695, 0.032264068722724915, 0.02832624316215515, 0.09372776746749878, -0.003063477575778961, 0.0135885551571846, 0.02234409749507904, -0.07222031056880951, -0.05237803980708122, -0.048987604677677155, 0.02875255048274994, 0.015403293073177338, -0.00539766252040863, 0.054156020283699036, 0.024561390280723572, 0.006849311292171478, -0.06270723789930344, -0.005654394626617432, 0.0754680335521698, -0.02523040771484375, -0.01835206151008606]"
234,"[-0.033485427498817444, 0.04467077553272247, -0.0777178406715393, 0.03264343738555908, -0.06886132806539536, -0.0859004408121109, -0.0636204183101654, 0.09729190170764923, 0.09638066589832306, -0.09930086880922318, -0.10488225519657135, 0.04494708776473999, -0.05638034641742706, -0.007953755557537079, -0.02672456204891205, -0.015450596809387207, 0.03985549509525299, 0.020570173859596252, 0.019595608115196228, -0.016158781945705414, -0.004975900053977966, 0.0572471022605896, 0.015823453664779663, -0.09149987250566483, -0.06180083751678467, -0.004408493638038635, 0.029140949249267578, 0.0644356906414032, 0.0891384482383728, -0.10439839214086533, 0.004339784383773804, -0.04636770114302635, -0.06507518887519836, 0.06991972029209137, -0.03742014616727829, 0.014930523931980133, 0.07379487156867981, -0.020516544580459595, -0.0156695619225502, -0.04317834973335266, -0.07513367384672165, 0.030316904187202454, -0.036887578666210175, 0.03672333061695099, 0.04967774450778961, 0.08992812037467957, -0.017397508025169373, -0.04242013394832611, -0.09527193754911423, -0.09968864172697067, -0.03375779837369919, -0.049311697483062744, 0.06923387944698334, 0.0014046356081962585, -0.02931256592273712, -0.01141609251499176, -0.026564501225948334, 0.0064365193247795105, 0.023009926080703735, -0.053136952221393585, 0.035389602184295654, 0.09817007184028625, 0.09686185419559479, 0.01181299239397049]"
393,"[-0.06683361530303955, -0.10463220626115799, 0.094048872590065, -0.0071754902601242065, 0.024004891514778137, -0.04600188508629799, -0.009244970977306366, 0.047660812735557556, 0.04000501334667206, 0.0948789119720459, -0.0999014601111412, -0.06984658539295197, -0.0782267227768898, 0.007389344274997711, 0.0179007425904274, 0.04571874439716339, -0.05013743042945862, -0.07789544761180878, -0.09249686449766159, 0.025092720985412598, 0.0027348101139068604, 0.07176707684993744, 0.03631614148616791, -0.030099645256996155, 0.002600565552711487, 0.10466836392879486, 9.48682427406311e-05, -0.040228523313999176, 0.02354271709918976, -0.1048533096909523, -0.022819943726062775, -0.0716429352760315, -0.05261529982089996, 0.03574387729167938, -0.053178612142801285, 0.03104454278945923, -0.04968436807394028, 0.08844742178916931, 0.09543557465076447, -0.019012831151485443, -0.07161745429039001, -0.08387789875268936, -0.09270109981298447, -0.0693950355052948, -0.07043656706809998, 0.08945305645465851, 0.07986676692962646, 0.04358159005641937, -0.07860537618398666, -0.03706563264131546, -0.04847431182861328, -0.09805896133184433, -0.017415128648281097, -0.09526868164539337, -0.01958625018596649, 0.027006715536117554, 0.10190099477767944, 0.05530513823032379, -0.08232853561639786, -0.0675894245505333, 0.038242071866989136, -0.021389074623584747, -0.03873644024133682, 0.08683760464191437]"
181,"[0.09025983512401581, 0.04272070527076721, -0.08096911013126373, -0.09747332334518433, 0.06935657560825348, 0.010051466524600983, -0.0671110525727272, -0.08971749246120453, 0.01617259532213211, 0.0892651379108429, 0.0469074547290802, 0.018976368010044098, -0.047683991491794586, 0.0894899070262909, 0.024167999625205994, -0.0865289494395256, 0.07014124095439911, 0.07193915545940399, 0.09314975142478943, -0.0895715057849884, -0.03588935732841492, 0.05013793706893921, -0.03153146803379059, -0.0707288607954979, -0.07474015653133392, 0.054265379905700684, -0.04014935344457626, 0.0016637146472930908, -0.008982628583908081, -0.02743595838546753, 0.02089729905128479, 0.02575695514678955, 0.02584238350391388, -0.06599767506122589, 0.0443006306886673, -0.046036478132009506, 0.08536398410797119, 0.09421125054359436, -0.042641617357730865, 0.06242005527019501, -0.0935705155134201, -0.08525793999433517, 0.042705222964286804, 0.026237741112709045, -0.018628910183906555, -0.043060556054115295, 0.010291986167430878, 0.007879242300987244, -0.08882231265306473, 0.003678269684314728, 0.10502655804157257, -0.02012982964515686, 0.07998950779438019, 0.06642667949199677, 0.006793022155761719, -0.0773215964436531, 0.0491882860660553, 0.005414098501205444, -0.062418531626462936, -0.10388370603322983, 0.017600923776626587, 0.04335987567901611, 0.01950208842754364, -0.00875476747751236]"
279,"[-0.06483939290046692, -0.04842841252684593, -0.0435531809926033, -0.032361410558223724, 0.07943066954612732, -0.07257970422506332, 0.10236673057079315, 0.07772964239120483, -0.09874840080738068, 0.07495830953121185, 0.07237628102302551, -0.08823059499263763, -0.05017097294330597, -0.0002716481685638428, -0.03340759873390198, -0.005328811705112457, 0.019936054944992065, -0.0993657186627388, 0.0009318515658378601, -0.09707219153642654, -0.07807812094688416, -0.06505860388278961, -0.07472258806228638, 0.012984350323677063, 0.08000484108924866, 0.09415207803249359, 0.05819201469421387, 0.045766204595565796, -0.0064263492822647095, 0.061643198132514954, -0.022758685052394867, -0.012967005372047424, -0.07478345930576324, 0.04721572995185852, 0.004053220152854919, 0.02240370213985443, -0.07005801796913147, -0.0388762503862381, -0.01751723885536194, 0.04008352756500244, 0.05913451313972473, -0.0789145976305008, 0.03795342147350311, -0.07893061637878418, 0.017928510904312134, -0.05326468497514725, -0.09638909250497818, -0.0034069418907165527, 0.09059913456439972, 0.0939931571483612, 0.04628667235374451, -0.09135201573371887, 0.03523409366607666, 0.10541258752346039, 0.009665004909038544, -0.012416020035743713, -0.08548355102539062, 0.04994054138660431, -0.042332522571086884, -0.046248942613601685, -0.037428922951221466, -0.02397015690803528, -0.04935068264603615, 0.036732017993927]"
429,"[-0.0244528129696846, 0.06724384427070618, 0.05291233956813812, 0.051058053970336914, 0.05428524315357208, 0.007079288363456726, 0.06150582432746887, 0.020465344190597534, -0.00926702469587326, -0.010972939431667328, -0.001262068748474121, -0.10353900492191315, -0.04848024621605873, 0.028811022639274597, -0.049990978091955185, -0.028503231704235077, 0.07322634756565094, 0.024183765053749084, 0.01081927865743637, 0.0004416629672050476, -0.09151489287614822, -0.09759139269590378, 0.049442291259765625, 0.048253655433654785, -0.06825126707553864, -0.06957556307315826, 0.07855863869190216, -0.08230113238096237, -0.09686046093702316, 0.06637606024742126, -0.06048649176955223, -0.04302525520324707, 0.014954812824726105, -0.009483270347118378, 0.04928864538669586, -0.08953171223402023, 0.04161641001701355, -0.06760967522859573, -0.05882410332560539, 0.0501863956451416, 0.08629193902015686, 0.006774879992008209, 0.0971502810716629, 0.045150429010391235, 0.014886751770973206, -0.026962757110595703, 0.0018331557512283325, 0.014616064727306366, 0.007757075130939484, -0.08061179518699646, 0.08514747023582458, -0.015206657350063324, 0.002202846109867096, 0.09612913429737091, 0.10097603499889374, -0.03437914699316025, 0.021472245454788208, 0.04179009795188904, -0.07941721379756927, -0.06332018971443176, 0.10589975118637085, 0.006828397512435913, -0.05021965503692627, -0.09293809533119202]"
846,"[-0.0697639137506485, -0.020691528916358948, 0.04955349862575531, -0.013215720653533936, -0.09313685446977615, 0.04282292723655701, 0.04280455410480499, -0.0043741315603256226, 0.09821933507919312, -0.045545995235443115, 0.0055302828550338745, -0.09700796008110046, 0.09008994698524475, -0.015830129384994507, -0.03728886693716049, 0.08019554615020752, -0.07641132175922394, 0.003125116229057312, -0.03212346136569977, -0.09793733060359955, 0.07177409529685974, -0.056295156478881836, 0.027337253093719482, 0.0652756541967392, -0.011723481118679047, -0.059806112200021744, -0.04036886245012283, -0.08484434336423874, -0.09580813348293304, -0.047441527247428894, -0.0678711012005806, 0.050158217549324036, -0.015542030334472656, -0.10006160289049149, 0.10467012226581573, 0.07077084481716156, 0.030671223998069763, 0.055661410093307495, -0.05642954260110855, 0.08162367343902588, 0.008228786289691925, -0.05164612829685211, 0.09880304336547852, -0.028345279395580292, -0.07532023638486862, -0.09623318910598755, 0.06682872772216797, 0.014910601079463959, -0.07421614229679108, 0.07533523440361023, -0.021033018827438354, -0.060237638652324677, 0.10515624284744263, 0.09497612714767456, 0.057101771235466, 0.05857282876968384, -0.061109285801649094, 0.06459136307239532, -0.03983640670776367, -0.08344512432813644, -0.08652788400650024, -0.05262014642357826, -0.06905296444892883, 0.0178508460521698]"
