item,embedding
323,"[-0.014946358278393745, -0.0007764416513964534, -0.0181537177413702, 0.013829715549945831, 0.006066272500902414, 0.012005346827208996, -0.0015392742352560163, -0.022816471755504608, -0.0016016596928238869, -0.009224938228726387, 0.00487855076789856, 0.004346685484051704, 0.002401774050667882, 0.01751880720257759, 0.021188613027334213, 0.011528939940035343, 0.004065945278853178, 0.007944941520690918, -0.005299299955368042, 0.0035198028199374676, -0.017606796696782112, 0.011415079236030579, 0.007647862192243338, 0.014432426542043686, -0.001979864202439785, -0.01048059668391943, -0.015881529077887535, -0.0035042879171669483, -0.005836386699229479, -0.01646217331290245, -0.0059475377202034, 0.005207867361605167, 0.015857992693781853, 0.019049379974603653, 0.015522563830018044, -0.007165830582380295, -0.003920463845133781, -0.01299114990979433, 0.014679665677249432, 0.010325291194021702, 0.01748848147690296, -0.004862069617956877, -0.012145395390689373, -0.010913540609180927, -0.013321119360625744, 0.00325771258212626, 0.009482934139668941, -0.013875270262360573, 0.0037296272348612547, -0.01090816967189312, -0.018585190176963806, 0.00805969163775444, 0.005934710614383221, -0.002104305662214756, -0.00248327711597085, -0.01887449249625206, 0.011213360354304314, -0.015044093132019043, 0.011755582876503468, -0.014575093984603882, -0.007467299699783325, -0.005734681151807308, -0.014966300688683987, 0.01890469714999199]"
396,"[0.0020245499908924103, -0.0008870979072526097, 0.0030427384190261364, 0.013108805753290653, 0.018220724537968636, -0.0018865568563342094, 0.018909402191638947, 0.010253015905618668, -0.008325930684804916, -0.005352183245122433, -0.02107061818242073, 0.017489254474639893, -0.0014402002561837435, -0.0050632827915251255, -0.017090927809476852, -0.007439586333930492, 0.014186008833348751, 0.01101346593350172, -0.004572746343910694, -0.013003979809582233, 0.01071976963430643, -0.01727665588259697, -0.011186011135578156, -0.004668927751481533, 0.0031824540346860886, 0.011527967639267445, -0.0088729839771986, -0.014819074422121048, 0.019760144874453545, -0.0039339372888207436, 0.01136517059057951, -0.0037784557789564133, -0.021415287628769875, -0.005469643510878086, 0.021054871380329132, -0.010245213285088539, -0.0012829508632421494, -0.006578424014151096, 0.0188567116856575, 0.013027617707848549, -0.002886655041947961, -0.00048767231055535376, -0.0025308437179774046, 0.01832600310444832, 0.017395801842212677, -0.011304296553134918, -0.010999341495335102, -0.012126847170293331, -0.005707498639822006, 0.01278243400156498, -0.01024600025266409, 0.01161547563970089, 0.0015620447229593992, 0.007880632765591145, -0.012602852657437325, -0.007746919058263302, -0.003332796273753047, 0.0003761256521102041, 0.0034344091545790434, -0.0061150663532316685, 0.001179725513793528, -0.004060633946210146, -0.006899865344166756, 0.012513325549662113]"
434,"[0.009979140013456345, -0.017870882526040077, -0.020520851016044617, 0.004928251728415489, 0.01180028822273016, 0.01836910843849182, 0.0013059258926659822, 0.007702849805355072, 0.003849015338346362, 0.0031785995233803988, -0.017583675682544708, 0.004271180834621191, 0.017432348802685738, -0.0018724792171269655, -0.015000085346400738, 0.004897416569292545, -0.00025421561440452933, 0.00979648157954216, 0.012651724740862846, -0.01895293779671192, 0.00694367615506053, 0.011189085431396961, 0.008956843055784702, 0.013160912320017815, 0.014294220134615898, 0.018473608419299126, 0.007765983697026968, 0.016380731016397476, 0.021931549534201622, 0.01386675238609314, 0.014959833584725857, 0.00658866111189127, 0.010926212184131145, -0.011651204898953438, 0.001648622564971447, 0.007131017278879881, 0.0167588721960783, 0.014817306771874428, 0.0005976746324449778, 0.0036340912338346243, 0.01740873232483864, -0.007973229512572289, -0.01809888333082199, 0.019494738429784775, -0.021255020052194595, -0.00973608996719122, -0.0062524923123419285, -0.003369074547663331, -0.002378468168899417, 0.007648141589015722, -0.004308337811380625, 0.0062916637398302555, -0.014021231792867184, -0.01204921305179596, 0.014801775105297565, -0.016337355598807335, -0.01095588319003582, 0.007900966331362724, -0.011145062744617462, -0.018524814397096634, -0.005118041764944792, -0.003350314451381564, 0.003959683235734701, -0.013073460198938847]"
1119,"[-0.01592758484184742, -0.008682862855494022, -0.002156197791919112, 0.01244691014289856, -0.011287263594567776, -0.010128981433808804, -0.011659644544124603, 0.006165932398289442, -0.012933317571878433, -0.006789799313992262, 0.00270517123863101, 0.01783902198076248, 0.01748238317668438, 0.004101995844393969, -0.016898583620786667, 0.013010612688958645, 0.0003900512238033116, -0.013839217834174633, -0.00521128810942173, -0.0009217461920343339, 0.01940499059855938, -0.020007885992527008, 0.0009223720990121365, -0.003418627893552184, 0.004311737138777971, 6.8995432229712605e-06, -0.00014683447079733014, -0.02059088833630085, 0.02282053604722023, -0.01947322115302086, -0.009630657732486725, -0.017102327197790146, -0.004544310737401247, -0.022113749757409096, -0.01722678914666176, 0.00966643262654543, -0.011703192256391048, -0.003171667456626892, 0.0040674093179404736, 0.011102507822215557, -0.016171416267752647, -0.004061501007527113, 0.009800358675420284, -0.018654240295290947, 0.0028447762597352266, 0.00010179460514336824, -0.007755903992801905, -0.009069649502635002, 0.009479879401624203, 0.001027919352054596, 0.011568022891879082, 0.006630927789956331, -0.0006977536249905825, -0.010545448400080204, 0.007289472967386246, -0.005134688690304756, 0.0187764260917902, -0.004851032048463821, 0.00842574704438448, -0.004934831988066435, -0.017503080889582634, -0.006264768540859222, -0.002364692511036992, 0.00872587226331234]"
63,"[-0.0011313536670058966, -0.01770654134452343, 0.012749777175486088, -0.0056503769010305405, -0.01468784362077713, 0.006320778746157885, 0.001156757352873683, -0.007234142627567053, 0.009547868743538857, 0.015305846929550171, -0.00850706547498703, 0.013164423406124115, 0.013576940633356571, -0.0024594070855528116, -0.018385201692581177, -0.0139309698715806, 0.005237502511590719, -0.01527260709553957, 0.012749066576361656, -0.016675135120749474, -0.0007497323676943779, -0.006434572394937277, -0.011562921106815338, -0.01464852411299944, -0.006400676444172859, -0.005532458890229464, -0.019272176548838615, 0.012305419892072678, 0.0184748824685812, 0.013425336219370365, -0.013696102425456047, 0.01859121583402157, 0.004902900196611881, -0.006726191844791174, -0.010262271389365196, -0.013371504843235016, -0.012665445916354656, 0.004540144931524992, 0.02152058109641075, -0.015491300262510777, 0.006000143941491842, -0.01540329772979021, -0.00954741146415472, -0.009960894472897053, 0.02351939119398594, -0.016834594309329987, 0.009405812248587608, 0.00710944551974535, 0.02235076017677784, -0.014834866859018803, -0.017819968983530998, 0.013972052372992039, -0.007385903038084507, -0.005007331259548664, 0.011764626018702984, -0.0014029985759407282, 0.002508469857275486, -0.004281532950699329, 0.018935874104499817, -0.0010178915690630674, -0.0175111573189497, -0.01143085490912199, -0.009698135778307915, -0.012897015549242496]"
275,"[-0.0137338200584054, -0.002528608776628971, 0.011362758465111256, 0.0182123314589262, -0.013590068556368351, -0.0001797131699277088, 0.004667344037443399, -0.006678219418972731, 0.003111656289547682, -0.003832818241789937, -0.019274355843663216, 0.01595662347972393, 0.01039302907884121, -0.012666478753089905, 0.012099025771021843, -0.016942420974373817, -0.0012416956014931202, -0.0017942343838512897, -0.012340937741100788, 0.008001825772225857, 0.018514664843678474, -0.006840341724455357, 0.0021585733629763126, 0.003264786209911108, -0.01815928891301155, -0.017994780093431473, -0.003708659205585718, -0.008822023868560791, 0.018154818564653397, 0.019210582599043846, -0.006950452923774719, 0.01058237161487341, -0.022698260843753815, 0.020348334684967995, 0.0036860452964901924, -0.009952308610081673, 0.002101927064359188, -0.02130328118801117, -0.010075030848383904, -0.006935921963304281, 0.006732677109539509, -0.006688297726213932, 0.013373151421546936, 0.016710253432393074, -0.007660971488803625, -7.98224937170744e-05, 0.009958901442587376, -0.004943966865539551, -0.015598565340042114, -0.01982143521308899, 0.011365802958607674, -0.009755951352417469, 0.0058236331678926945, 0.021559875458478928, -0.011279260739684105, -0.009318627417087555, -0.0025816187262535095, 0.01483465451747179, 0.017316024750471115, -0.009739281609654427, 0.0037329653277993202, 0.0004400456673465669, -0.0006896097329445183, 0.007352335844188929]"
56,"[-0.003338560927659273, 0.005433515179902315, 0.010462317615747452, 0.008915354497730732, -0.00013535958714783192, -0.018526311963796616, -0.007848565466701984, 0.006478284019976854, 0.005667221732437611, 0.005048091989010572, -0.0007084148819558322, -0.011222184635698795, -0.019642136991024017, -0.023951038718223572, 0.003109592478722334, 0.0016243685968220234, -0.015650874003767967, 0.002976593328639865, -0.010906673036515713, 0.0010200311662629247, -0.02047131396830082, -0.01048687007278204, -0.008906867355108261, -0.01487392745912075, -0.008593915961682796, -0.0010371175594627857, -0.013802881352603436, -0.006765816826373339, 0.013074180111289024, 0.010599788278341293, 0.004553241655230522, 0.0012903574388474226, -0.02088557556271553, 0.017044976353645325, -0.010294417850673199, -0.015445618890225887, -0.013346356339752674, -0.006422214210033417, 0.006936620455235243, 0.000517186475917697, -0.005773542914539576, -0.016903480514883995, -0.0038399952463805676, -0.0018883042503148317, -0.019772551953792572, 0.007756715640425682, -0.005431081168353558, -0.008679182268679142, -0.018444214016199112, -0.02083347551524639, -0.01134116668254137, -0.020647607743740082, -0.021746601909399033, -0.006191571708768606, 0.0019978287164121866, -0.018551867455244064, 0.0031752209179103374, 0.001255521085113287, 0.006873394828289747, -0.005490582901984453, -0.015057980082929134, 0.010273498483002186, 0.016421038657426834, -0.014623083174228668]"
328,"[0.014694436453282833, 0.006128594279289246, -0.01326703280210495, 0.001411709818057716, 0.0179989505559206, -0.01665322668850422, 0.019928839057683945, 0.009498990140855312, -0.0017805376555770636, -0.02139887772500515, -0.002663138322532177, 0.021558726206421852, -0.009040340781211853, -0.004841605667024851, -0.0076024592854082584, -0.02305413782596588, 0.00817183218896389, -0.019971882924437523, -0.0101206935942173, -0.008509086444973946, -0.022714825347065926, -0.017099009826779366, 0.010110387578606606, 0.016461683437228203, 0.0027421042323112488, -0.01681046187877655, 0.015925804153084755, -0.01180198136717081, 0.010244219563901424, 0.00328633701428771, 0.0018703783862292767, 0.013618012890219688, 0.0033238811884075403, 0.013533261604607105, 0.003058176953345537, 0.019560087472200394, 0.011492051184177399, 0.018305283039808273, 0.022273899987339973, 0.013488787226378918, -0.014069577679038048, 0.008386418223381042, 0.004940117243677378, -0.005085741635411978, 0.0068816859275102615, 0.0067530665546655655, 0.005390617530792952, 0.0008489075116813183, 0.015841687098145485, -0.020487243309617043, 0.006327364128082991, -0.010471280664205551, 0.012706010602414608, -0.016516568139195442, 0.010616435669362545, 0.020877623930573463, -0.010133233852684498, -0.010248420760035515, -0.006193843670189381, 0.005170662421733141, -0.011306148953735828, -0.01855895109474659, 0.008887073956429958, -0.019364481791853905]"
820,"[0.0029312274418771267, 0.015277140773832798, -0.00996683444827795, 0.017250506207346916, 0.0071846917271614075, -0.007855878211557865, -0.01580285094678402, -0.017863553017377853, -0.02061876282095909, -0.01961490511894226, 0.007589942310005426, 0.004126445390284061, -0.023047270253300667, -0.013825232163071632, -0.0072785355150699615, 0.011749017052352428, 0.015896741300821304, 0.006154472008347511, -0.017050761729478836, 0.002071541268378496, 0.01421517413109541, -0.001052493811585009, 0.006302687339484692, -0.01941172406077385, -0.01754935272037983, 0.00674692215397954, 0.008878352120518684, 0.01158454455435276, 0.008007771335542202, 0.017737483605742455, 0.016716565936803818, 0.020222654566168785, 0.01969452202320099, -0.021708955988287926, 0.019083205610513687, 0.00016022654017433524, -0.0019467720994725823, 0.013576677069067955, -0.007426069118082523, -0.008791377767920494, 0.02040954679250717, 0.013322985731065273, 0.007770970929414034, -0.015970246866345406, 0.01416243240237236, 0.020564381033182144, -0.01390768587589264, -0.013596144504845142, -0.0184127576649189, -0.0013816002756357193, 0.019199976697564125, -0.012699849903583527, -0.005980619229376316, -0.0008537088287994266, -0.020162202417850494, 0.004508832469582558, -0.015765883028507233, -0.0077040125615894794, -0.007704082876443863, 0.013358751311898232, -0.018556756898760796, -0.012412925250828266, 0.015419887378811836, 0.016595393419265747]"
228,"[0.0144329983741045, 0.0005652050022035837, 2.695529838092625e-05, 0.004587216302752495, 0.007866119965910912, -0.02222837135195732, -0.010391365736722946, -0.003381524235010147, -0.014399035833775997, -0.006371010560542345, -0.004736011847853661, 0.024562545120716095, -0.017720013856887817, -0.01912299357354641, -0.005007697734981775, -0.016994360834360123, 0.020090121775865555, -0.013923305086791515, 0.0023979966063052416, 0.017325421795248985, -0.015790898352861404, 0.014574198983609676, 0.016118358820676804, -0.008992454037070274, 0.0038541650865226984, -0.012767142616212368, 0.010036557912826538, -0.003041469492018223, -0.01711985468864441, -0.017996223643422127, -0.0025350393261760473, 0.022494647651910782, 0.013041423633694649, 0.0058144922368228436, 0.0033188958186656237, 0.002228695200756192, 0.010413275100290775, 0.005167456343770027, 0.022399067878723145, -0.0186472050845623, -0.009916389361023903, 0.011473394930362701, -0.008531625382602215, 0.00390998600050807, 0.00842979084700346, -0.015556871891021729, 0.0037001005839556456, -0.015091723762452602, -0.01770537719130516, -0.0005383065436035395, 0.007929003797471523, -0.01387760415673256, -0.0050942967645823956, 0.017587345093488693, -0.0062540252692997456, -0.020336097106337547, 0.02222108095884323, -0.007238693535327911, -0.01666533388197422, -0.01756572164595127, 0.007426257710903883, -0.00927645806223154, -0.006381544284522533, 0.0033096997067332268]"
169,"[0.006038490682840347, -0.003101874841377139, 0.004083233419805765, -0.01819663681089878, -0.006335159298032522, 0.0006304152775555849, 0.015450410544872284, 0.004561657551676035, -0.0031456334982067347, 0.0037892444524914026, 0.014409075491130352, -0.007747761905193329, 0.01752982847392559, 0.013141865842044353, -0.022170599550008774, 0.011952778324484825, 0.002591820200905204, 0.001152802724391222, -0.0035204687155783176, -0.004204156808555126, 0.010387394577264786, -0.015034274198114872, -0.001008316408842802, 0.01698695868253708, -0.013152684085071087, -0.008679616264998913, 0.020741350948810577, 0.01047599595040083, -0.005099021829664707, -0.005025586113333702, -0.007456493563950062, 0.0014502027770504355, 0.006329615134745836, 0.0004886777023784816, -0.003998640924692154, 0.011943492107093334, 0.004968676716089249, -0.007147364784032106, 0.016162961721420288, 0.006999469827860594, -0.01667364127933979, 0.010292199440300465, 0.00585623923689127, 0.018314572051167488, -0.0038551166653633118, 0.0035049831494688988, 0.011029332876205444, -0.007477338891476393, 0.0027308037970215082, 0.0030622496269643307, 0.011374928057193756, -0.01828155852854252, 0.008425438776612282, -0.00407878402620554, -0.012168142944574356, -0.02192499116063118, -0.012593346647918224, 0.00031741775455884635, 0.008938341401517391, 0.018242331221699715, 0.010271419771015644, 0.00012471256195567548, 0.006586910225450993, 0.009681466966867447]"
100,"[-0.007209797389805317, -0.008395629934966564, -0.01783335581421852, -0.006615918595343828, 0.012002389878034592, 0.006674875970929861, 0.002171427709981799, 0.0018139583989977837, 0.015382431447505951, -0.021024007350206375, -0.0019148321589455009, -0.009783145971596241, 0.00788602139800787, 0.007551377173513174, 0.0016811660025268793, 0.02186088263988495, 0.002044268883764744, 0.007411970291286707, 0.017563290894031525, 0.0012070544762536883, 0.0029604060109704733, -0.019020825624465942, 0.004296229220926762, -0.009117919020354748, -0.003476956393569708, 0.0021648183465003967, -0.019328752532601357, 0.00473014498129487, 0.018457217141985893, -0.018737994134426117, -0.002557906322181225, 0.012443860992789268, 0.0019022629130631685, 0.020645253360271454, -0.009264959953725338, -0.013907074928283691, 0.01807323284447193, 0.015028877183794975, 0.00836490560323, 0.01233266107738018, 0.011322002857923508, 0.002453841269016266, 0.0014879211084917188, -0.020345909520983696, 0.009754279628396034, 0.0024840179830789566, -0.013087403029203415, 0.007158171851187944, 0.011130974628031254, 0.005745633505284786, -0.007645978592336178, 0.009683667682111263, 0.004184565041214228, -0.007365558296442032, -0.020597435534000397, 0.0012091693934053183, 0.018940888345241547, 0.003794805845245719, 0.019069815054535866, 0.000523918482940644, -0.015653250738978386, 0.017453836277127266, 0.0029320421162992716, -0.011166195385158062]"
173,"[-0.0042655435390770435, 0.010996514931321144, -0.008494578301906586, 0.013670493848621845, 0.005943384021520615, 0.01814945973455906, -0.005721418187022209, -0.014097310602664948, -0.0005957357934676111, -0.0038536766078323126, -0.021319162100553513, -0.017529698088765144, -0.011841844767332077, -0.01066509634256363, -0.018822869285941124, 0.006990893743932247, 0.01782466657459736, -0.013714857399463654, 0.016320725902915, -0.018260085955262184, 0.0010080732172355056, -0.020235223695635796, 0.005933307111263275, 0.011410527862608433, 0.008187010884284973, -0.005865215323865414, -0.020700326189398766, -0.020205607637763023, 0.010737323202192783, 0.0017634492833167315, -0.004372239112854004, 0.01492407638579607, 0.017587294802069664, -0.01733388379216194, -0.013703270815312862, 0.019462455064058304, 0.00487735029309988, 0.012875566259026527, -0.0017752853455021977, 0.0036644062492996454, -0.005201954394578934, -0.010993937030434608, -0.002492600353434682, -0.004395729396492243, 0.001632128027267754, 0.016869617626070976, -0.0015962820034474134, -0.006261875852942467, 0.01608360931277275, -0.004631539806723595, -0.023881468921899796, 0.012216645292937756, -0.022456714883446693, -0.012805189937353134, 0.006485722493380308, 0.009370023384690285, 0.0022766697220504284, 0.01711689867079258, -0.01825937256217003, 0.011061513796448708, -0.005982105620205402, -0.017628265544772148, -0.009400890208780766, -0.004832096863538027]"
151,"[0.008052267134189606, 0.0036177681758999825, -0.019346561282873154, -0.01810336485505104, -0.015951531007885933, 0.015439310111105442, 0.014933084137737751, -0.007427789270877838, 0.009468605741858482, 0.014549403451383114, 0.008206449449062347, -0.006703155115246773, -0.005502175074070692, -0.0020512451883405447, -0.013225976377725601, 0.00354482582770288, 0.008707580156624317, -0.005217321682721376, 0.008570481091737747, 0.013979426585137844, 0.007710102014243603, -0.019363297149538994, -0.014170804992318153, 0.015164571814239025, 0.008316508494317532, -0.010202907957136631, 0.013446612283587456, 0.002389864530414343, -0.009904174134135246, -0.01146646123379469, 0.01319287158548832, -0.014972585253417492, -0.018743393942713737, -0.01597006432712078, 0.008911997079849243, 0.007252192590385675, -0.0025635238271206617, 0.02057841792702675, 0.019100598990917206, -0.005157663486897945, 0.013241596519947052, 0.006105408072471619, -0.010553736239671707, 0.009960407391190529, 0.015168271958827972, 0.012262309901416302, 0.0035863840021193027, 0.0007692556828260422, -0.015607529319822788, 0.006651096511632204, 0.012284057214856148, -0.017750997096300125, 0.0021408842876553535, 0.0016126187983900309, 0.0063870991580188274, -0.012788298539817333, 0.019605157896876335, 0.020754659548401833, -0.011178715154528618, -0.00908789224922657, 0.0037190832663327456, 0.012728679925203323, 0.014021620154380798, -0.021511288359761238]"
