user,embedding
846,"[-0.007006384897977114, 0.019639715552330017, -0.02186444029211998, 0.006008123978972435, 0.02078445628285408, 0.009638234041631222, 0.0057509103789925575, 0.01076041255146265, -0.0056094517931342125, -0.02412182278931141, 0.01858093962073326, 0.025332650169730186, -0.02411661669611931, -0.02107793651521206, 0.016266129910945892, -0.01639799028635025, 0.013732177205383778, -0.022069742903113365, -0.017529083415865898, -0.011595472693443298, 0.021412281319499016, -0.0010859612375497818, 0.022501621395349503, -0.011310006491839886, 0.01008488517254591, 0.017812559381127357, -0.026744550094008446, 0.017022201791405678, 0.013572477735579014, -0.010385686531662941, 0.02456430345773697, -0.009059853851795197, 0.009029806591570377, 0.01990227773785591, 0.007307519670575857, -0.027907487004995346, -0.02026158943772316, -0.005171622149646282, -0.0003831602225545794, -0.02171804942190647, -0.03171426057815552, -0.02849719487130642, -0.013007588684558868, 0.0033532269299030304, -0.002938598860055208, -0.018863322213292122, 0.014967787079513073, 0.007246390916407108, -0.001324265729635954, -0.014753149822354317, -0.010534653440117836, -0.02494952082633972, 0.010335897095501423, -0.0007087672129273415, 0.003492171410471201, 0.0011765012750402093, 0.020675793290138245, 0.015292618423700333, -0.005223945248872042, -0.008329481817781925, 0.014849061146378517, -0.003992126788944006, 0.024584077298641205, -0.020960111171007156]"
712,"[-0.005375200416892767, -0.021095579490065575, 0.0184223223477602, 0.011209708638489246, -0.01786245033144951, 0.024092884734272957, -0.0006571470876224339, 0.012514811009168625, 0.012166851200163364, -0.020526355132460594, 0.018806593492627144, 0.012635343708097935, 0.018490659072995186, -0.020555371418595314, 0.017615189775824547, -0.010230517014861107, 0.02521013282239437, -0.021929364651441574, -0.018369989469647408, 0.01241643913090229, -0.006174004171043634, 0.017781585454940796, 0.0013048305409029126, 0.025390658527612686, -0.024284007027745247, -0.020064307376742363, -0.029064787551760674, -0.016763126477599144, 0.02174307033419609, -0.02745102345943451, 0.009426884353160858, 0.014225351624190807, 0.0005249078385531902, 0.026411591097712517, -0.0003080802271142602, -0.0018563778139650822, -0.01503041386604309, 0.027661524713039398, -0.013042056933045387, 0.011972620151937008, -0.025714052841067314, -0.017719827592372894, 0.02007495053112507, -0.005023481324315071, 0.026290511712431908, 0.0007613196503371, -0.012347263284027576, -0.0031856484711170197, 0.014229812659323215, 0.026031916961073875, -0.023877523839473724, 0.004631985444575548, 0.00855866726487875, -0.00198830827139318, 0.010950800962746143, 0.01763404905796051, 0.019884206354618073, -0.002431000117212534, 0.007917107082903385, 0.0018849915359169245, -0.025460543110966682, -0.01761651039123535, -0.0027154989074915648, -0.0178638007491827]"
295,"[-0.006882164161652327, -0.016284344717860222, 0.001960010500624776, 0.004276968538761139, -0.0009452855447307229, -0.021496757864952087, -0.01720949448645115, 0.006097206845879555, 0.0013477704487740993, -0.00703771086409688, -0.006859754677861929, 0.0032982761040329933, -0.019190946593880653, 0.016276780515909195, -0.019808202981948853, -0.024110719561576843, 0.02732246369123459, 0.012182327918708324, 0.009864287450909615, 0.001571265747770667, 0.0037873764522373676, 0.023597851395606995, 0.02208593487739563, -0.012575305998325348, -0.023878738284111023, 0.024032948538661003, -0.01967683620750904, 0.0005086961318738759, 0.0006503167096525431, -0.024081990122795105, 0.0046987952664494514, 0.020305069163441658, -0.004672398325055838, -0.007122994400560856, -0.010894701816141605, -0.025275474414229393, -0.023071657866239548, 0.011244655586779118, 0.0262055154889822, 0.02265692688524723, -0.029662609100341797, 0.0028545381501317024, 0.006589898839592934, 0.012358441948890686, -0.02056356891989708, 0.02608790062367916, 0.024730976670980453, -0.006993825547397137, 0.004232706036418676, 0.027061637490987778, -0.014983170665800571, 0.014135485514998436, 0.0234034713357687, -0.00860875565558672, -0.00964426901191473, 0.02609834633767605, 0.02327463962137699, -0.008379735052585602, -0.016643021255731583, -0.014403905719518661, 0.013050086796283722, 0.009160855785012245, -0.018282396718859673, -0.006545808631926775]"
524,"[-0.0037121574860066175, 0.026403406634926796, 0.020999206230044365, 0.020607804879546165, 0.0018459272105246782, 0.012510177679359913, 0.017978601157665253, 0.02243325673043728, -0.03037560172379017, -0.023745018988847733, 0.022871840745210648, 0.007060897070914507, -0.0034450574312359095, 0.009764308109879494, -0.010719723999500275, -0.02461135759949684, -0.008865228854119778, 0.0026970880571752787, 0.022915594279766083, 0.01148387510329485, -0.004984675440937281, 0.015024205669760704, 0.020526107400655746, 0.004776740446686745, -0.0008781692013144493, 0.019463706761598587, -0.02770385704934597, 0.019226210191845894, -0.004702088423073292, 0.003052106127142906, -0.022485511377453804, -0.014463182538747787, -0.011007139459252357, -0.012983041815459728, 0.009651620872318745, 0.014147081412374973, 0.021760622039437294, 0.0036829959135502577, 0.0012448320630937815, 0.011206431314349174, -0.012512490153312683, 0.0061110551469028, -0.024545414373278618, 0.010186702013015747, -0.022150814533233643, 0.0035319572780281305, 0.015133609063923359, 0.008680052123963833, -0.014108551666140556, 0.007711542770266533, 0.022112419828772545, -0.02835123986005783, 0.017100563272833824, -0.018292417749762535, 0.024760683998465538, 0.019380580633878708, -0.002301275497302413, -0.01725654862821102, 0.02193078212440014, -0.014187614433467388, 0.01699834130704403, -0.0013924285303801298, -0.0015200668713077903, 0.023501399904489517]"
456,"[0.008834459818899632, 0.028727879747748375, 0.012234386056661606, -0.010438334196805954, 0.011717303656041622, 0.017318252474069595, 0.020277857780456543, -0.0017463561380282044, -0.015128504484891891, -0.015322629362344742, 0.0007340814918279648, 0.004245806019753218, 0.0033339979127049446, -0.023720605298876762, 0.014012419618666172, -0.00015664371312595904, -0.012196804396808147, -0.012538854032754898, -0.017571918666362762, -0.01860463060438633, -0.00692677590996027, 0.00023725989740341902, -0.0104042524471879, 0.010354217141866684, 0.01333302166312933, -0.004362665116786957, -0.00220755347982049, -0.00530411908403039, 0.005035581067204475, 0.003947349265217781, -0.015380136668682098, -0.00991287361830473, -0.02066582255065441, 0.0163674745708704, 0.018730731680989265, -0.004320070147514343, -0.0060372320003807545, 0.0012230963911861181, -0.0025974649470299482, -0.007066124584525824, -0.009986169636249542, -0.006316705606877804, 0.026741577312350273, -0.02188858948647976, -0.018782250583171844, -0.016277937218546867, 0.011664006859064102, -0.025060933083295822, 0.02147018536925316, -0.00496641406789422, -0.018110807985067368, -0.022810306400060654, 0.014111664146184921, 0.023006943985819817, 0.009883844293653965, 0.004179856739938259, -0.02135385572910309, 0.02036367543041706, -0.009705448523163795, -0.024184197187423706, -0.009358840994536877, 0.01594305783510208, 0.027623960748314857, -0.008342077024281025]"
566,"[0.003339884802699089, 0.006522057577967644, 0.01475856825709343, 0.01858212612569332, 0.001298296730965376, -0.012269275262951851, 0.0030679027549922466, 0.017348090186715126, 0.009652627632021904, -0.020939383655786514, 0.01580161042511463, -0.00012261190568096936, -0.021151501685380936, 0.02186502330005169, -0.02401658333837986, -0.007505834102630615, 0.003417405765503645, 0.017357392236590385, 0.013246594928205013, -0.017086170613765717, -0.023290902376174927, 0.0015895774122327566, 0.02179509960114956, 0.01754654198884964, -0.020660124719142914, -0.01889733411371708, 0.011514105834066868, -0.027243031188845634, 0.011725516058504581, -0.006480810232460499, -0.019765272736549377, 0.004142128862440586, -0.007460160180926323, 0.018640097230672836, -0.01625736989080906, -0.024113519117236137, -0.016451694071292877, -0.01626778021454811, -0.0028903831262141466, 0.013772266916930676, 0.018231479451060295, -0.010243392549455166, 0.019823919981718063, -0.021449794992804527, 0.0046851979568600655, 0.025071483105421066, 0.0030903122387826443, 0.01029280573129654, -0.013715659268200397, -0.0086666876450181, 0.023597562685608864, -0.0022391194943338633, -0.023851972073316574, -0.007655342109501362, -0.01890960894525051, 0.010044584050774574, -0.019308097660541534, -0.017320748418569565, -0.02616705372929573, 0.00420398311689496, -0.018304431810975075, 0.014313981868326664, -0.010067783296108246, -0.009743803180754185]"
562,"[-0.0034643467515707016, 0.025098934769630432, 0.004434517584741116, 0.02539389207959175, -0.0032379350159317255, 0.024760432541370392, -0.020475661382079124, -0.01253519393503666, -0.011186026968061924, 0.003862594487145543, -0.024740781635046005, -0.011203629896044731, 0.01890026591718197, 0.005806800909340382, -0.020434599369764328, 0.02435215376317501, -0.006853718776255846, 0.00700733857229352, -0.02389090694487095, -0.008402461186051369, 0.015126685611903667, 0.011579292826354504, 0.021464314311742783, -0.020879294723272324, -0.02669837698340416, 0.017597870901226997, -0.016744615510106087, 0.00968619342893362, -0.01831076852977276, -0.006272869650274515, -0.016848120838403702, -0.020924462005496025, 0.016565969213843346, -0.01328202709555626, 0.009147373028099537, -0.01289829146116972, -0.021660350263118744, -0.004004774149507284, -0.021227212622761726, 0.005492042750120163, 0.010273495689034462, 0.0056191314943134785, -0.005019799340516329, -0.0018194933654740453, -0.01757228374481201, -0.007243014872074127, 0.008368424139916897, 0.015314463526010513, 0.005592335015535355, 0.015333178453147411, 0.0013960391515865922, -0.008388271555304527, -0.023021943867206573, 0.023100143298506737, 0.015318525955080986, 0.021810118108987808, 0.00374905695207417, 0.0065231663174927235, 0.01943082921206951, 0.01499070506542921, 0.012176704593002796, 0.006477191112935543, -0.026190143078565598, 0.014109916053712368]"
327,"[-0.00487093348056078, 0.023367613554000854, 0.005128000397235155, 0.01634545810520649, -0.004571860656142235, 0.02744891308248043, -0.010273972526192665, -0.0003308764426037669, -0.014329453930258751, 0.004942459985613823, -0.021579701453447342, -0.003231380134820938, 0.010603540576994419, 0.006739041302353144, -0.012690928764641285, 0.018094003200531006, 0.002189129823818803, -0.0263872928917408, -0.020025743171572685, -0.010687928646802902, 0.004575477447360754, 0.0012446804903447628, 0.0168989896774292, -0.018661634996533394, -0.01012592762708664, 0.012382193468511105, 0.002936100587248802, -0.002007730770856142, -0.015628257766366005, -0.026504646986722946, -0.020630506798624992, -0.014860039576888084, -0.004525331314653158, 0.010852445848286152, 0.015011592768132687, 0.025518903508782387, 0.010187064297497272, 0.024176092818379402, 0.01854528672993183, -0.006880974862724543, -0.0026652172673493624, 0.003905655350536108, -0.005419950000941753, 0.0013627869775518775, -0.014905883930623531, 0.0022029858082532883, 0.025171546265482903, -0.022757725790143013, -0.021887410432100296, -0.0018057026900351048, -0.01064919214695692, 0.011651893146336079, 0.028150610625743866, -0.013030348345637321, -0.019991498440504074, -0.008658867329359055, 0.009415163658559322, 0.00026993430219590664, -0.002607957925647497, -0.02185605838894844, -0.004633561708033085, -0.00907599925994873, -0.022246534004807472, 0.0006036784034222364]"
495,"[0.0028500354383140802, -0.025882065296173096, -0.011069852858781815, -0.02179282158613205, 0.008344219997525215, -9.155640145763755e-05, -0.011139812879264355, -0.021336963400244713, -0.01845923624932766, -0.01059405505657196, 0.017459627240896225, -0.009952910244464874, 0.006321221124380827, -0.007431590463966131, -0.026688460260629654, 0.0036908318288624287, 0.002863232046365738, 0.01748759299516678, 0.023512300103902817, 0.0017217571148648858, -0.007922889664769173, -0.016998538747429848, 0.015396676026284695, -0.011210644617676735, 0.013918180018663406, 0.011491462588310242, 0.018916530534625053, -0.008933105506002903, 0.023854339495301247, 0.005764337256550789, 0.01370912417769432, 0.024077288806438446, -0.007461085449904203, 0.008869705721735954, 0.014712303876876831, 0.018913239240646362, -0.004911620169878006, 0.0005302616627886891, 0.015253344550728798, 0.021954897791147232, -0.028706206008791924, -0.007495344616472721, -0.0019482934148982167, 0.015667064115405083, -0.009714731015264988, 0.00851432140916586, 0.025559309870004654, 0.002620022976770997, 0.01338313240557909, 0.019467364996671677, 0.007590824272483587, 0.018612174317240715, -0.019117748364806175, -0.019533563405275345, 0.021343590691685677, 0.017887061461806297, 0.009643185883760452, 0.007920222356915474, 0.008848655968904495, 0.024257799610495567, -0.025523986667394638, 0.018290186300873756, 0.006515311077237129, 0.021971849724650383]"
221,"[-0.006424212362617254, 0.008207910694181919, 0.004852555226534605, 0.011729350313544273, 0.00167395721655339, 0.0005246292566880584, -0.024928539991378784, 0.007034683134406805, -0.004366770386695862, -0.006777945905923843, 0.021818513050675392, 0.0047694058157503605, -0.013863381929695606, 0.022116003558039665, 0.0028232187032699585, -0.0017856043996289372, 0.011760048568248749, -0.027142826467752457, -0.018868116661906242, 0.017956938594579697, -0.01995708979666233, 0.018025003373622894, -0.010058377869427204, -0.009860808961093426, -0.01855372078716755, 0.007636413909494877, 0.008595948107540607, -0.026414882391691208, 0.014809196814894676, -0.013281082734465599, 0.008601075038313866, 0.013547146692872047, 0.01331518404185772, 0.024902382865548134, 0.018279224634170532, -0.0035831884015351534, -0.02063373290002346, 0.008133004419505596, 0.012077776715159416, 0.02456381730735302, -0.01736775040626526, -0.00856170617043972, 0.020116567611694336, 0.012605132535099983, -0.017540831118822098, 0.0010431793052703142, 0.024865269660949707, 0.006142986472696066, 0.0011871930910274386, 0.00010106235276907682, -0.017209958285093307, -0.024020688608288765, 0.004993808455765247, 0.02791551686823368, 0.018881771713495255, 0.025757670402526855, 0.005438501015305519, 0.0170533936470747, -0.011879682540893555, 0.011182248592376709, 0.022524354979395866, 0.00769451167434454, -0.004197103437036276, -0.015487898141145706]"
